CVE_MUN,GM,IM,IMN,Component 1,Component 2
5037,Muy bajo,58.337700821595,0.913487204799895,0.0012984692352508895,0.0025893588426081546
5038,Muy bajo,57.7682332789898,0.904570135625203,0.0014849238479206711,0.0028177854811874503
6001,Bajo,56.4059237449604,0.883238264283229,0.0014228898144560275,0.00404207175345317
6002,Muy bajo,59.7711755354347,0.935933423815301,0.0012079488973902822,0.002069430849678714
6003,Muy bajo,57.1625072020632,0.895085308264963,0.0008095335277056779,0.00336250769333271
6004,Muy bajo,57.1251916292823,0.89450099832825,0.0013701809717181952,0.0029327061625016326
6005,Muy bajo,58.1700784403634,0.910862471594152,0.0012017074152019204,0.002788463569873344
6006,Bajo,55.0289760226252,0.861677179284729,0.001491004412255216,0.005812425475561901
6007,Muy bajo,59.7547410038696,0.935676081923348,0.001348634124895939,0.0023954487446777016
6008,Muy bajo,57.3805329920052,0.898499288703402,0.0010397310670429457,0.0030412629106673418
6009,Muy bajo,57.1954216340676,0.895600702462298,0.0013999343223632243,0.0005826128876233543
6010,Muy bajo,60.5120922228991,0.947535147988342,0.001083287340831543,0.0017648679572595946
7001,Medio,53.2907904738896,0.834459612668694,0.0006259554528113016,0.003746296830331792
7002,Medio,53.3009496928406,0.834618691898622,0.0006238794317705105,0.004261480899288966
7003,Alto,52.1499492969481,0.816595627575556,-0.0006764756400044598,0.0020001724208450382
7004,Alto,49.7840661417914,0.779549190025736,-0.00843481700690901,0.005958445084717962
7005,Alto,48.7593250790908,0.763503171142121,-0.00872726103849336,-0.0036163661147919335
7006,Alto,52.2296012272431,0.817842865950352,-0.002969093451051732,0.0022972428368838098
7007,Muy alto,45.981946197677,0.720013283208214,-0.010848841339565207,-0.011382190444412951
7008,Alto,51.5472580763044,0.807158321841021,-0.0001547107858973472,0.00449519382997345
7009,Medio,54.5793351882981,0.854636429595784,0.0022448187444476567,0.0037194706638951267
7010,Alto,49.7756697893572,0.779417714832035,0.006577195523121148,-0.0137550540003972
