CVE_MUN,GM,IM,Cluster labels
09015,Muy bajo,61.3285335133283,1
09016,Muy bajo,61.2214578697982,1
09017,Muy bajo,60.3845963564287,1
10001,Muy bajo,56.6960494329267,1
10002,Alto,50.8021460659875,0
10003,Bajo,55.3986423304642,2
10004,Muy bajo,56.9816697852868,1
10005,Muy bajo,59.5910145755833,1
10006,Medio,54.341867581474,2
10007,Muy bajo,59.2730388873649,1
10008,Muy bajo,57.895155666715,1
10009,Medio,52.9964160469859,3
10010,Muy bajo,56.6751793788539,2
10011,Bajo,55.6061648400237,2
10012,Muy bajo,58.8038790671402,1
10013,Muy bajo,56.7490494471011,1
10014,Muy alto,28.2229952282718,3
10015,Bajo,55.8717551228194,2
10016,Muy bajo,56.885686159889,1
10017,Bajo,55.5609313837748,2
10018,Muy bajo,57.9369748090193,1
10019,Alto,50.5858068355353,0
10020,Muy bajo,57.3430224858356,1
10021,Muy bajo,56.7246617952508,1
10022,Muy bajo,57.3596245514937,1
10023,Alto,51.5504064424081,3
10024,Muy bajo,56.9146939292816,1
10025,Bajo,55.0338068365764,2
10026,Bajo,54.9460377012624,3
10027,Alto,52.2075436392665,3
10028,Muy bajo,56.5545756981802,2
10029,Bajo,55.8256287374821,2
10030,Bajo,55.7312859224862,2
10031,Bajo,55.7855929243672,2
10032,Bajo,56.4002460342517,1
10033,Medio,53.5585706988264,2
10034,Muy alto,47.0905774506537,0
10035,Medio,54.1944274563485,3
10036,Muy bajo,57.0767291965583,1
10037,Alto,51.8223254394095,3
10038,Muy bajo,58.469883553421,1
10039,Muy bajo,57.3614835396817,1
11001,Bajo,55.5402606919792,1
11002,Muy bajo,56.9612217570423,1
11003,Bajo,56.201217751103,1
11004,Muy bajo,56.7235853688555,1
11005,Muy bajo,57.409175625332,1
11006,Alto,49.6157618202359,3
11007,Muy bajo,58.8389938098381,1
11008,Bajo,55.7576546289023,1
11009,Medio,54.1045646023985,1
11010,Bajo,55.4795869955235,2
11011,Muy bajo,57.5912510275716,1
11012,Bajo,56.2000969935609,1
11013,Bajo,55.5459682282103,1
11014,Bajo,55.0125571352096,1
11015,Muy bajo,58.5616972804428,1
11016,Bajo,56.1618594066586,2
11017,Muy bajo,58.7609194025885,1
11018,Muy bajo,56.9345416463024,1
11019,Medio,53.9809899283802,2
11020,Muy bajo,59.0793372109962,1
11021,Muy bajo,58.3975353685313,1
11022,Bajo,54.7694574195741,2
11023,Bajo,55.2419593139735,1
11024,Bajo,55.7310473337048,2
11025,Muy bajo,57.4725524094044,1
11026,Bajo,56.0025333976943,1
11027,Muy bajo,58.3158092065983,1
11028,Muy bajo,56.6436237406066,1
11029,Medio,53.4163093212806,3
11030,Medio,53.9971522493502,3
11031,Muy bajo,57.6617426611668,1
11032,Muy bajo,57.2411850613912,1
11033,Bajo,55.0984879479621,1
11034,Medio,53.463378937803,3
11035,Bajo,56.1745084950172,1
11036,Bajo,55.6898140782752,2
11037,Muy bajo,56.9524941709445,1
11038,Muy bajo,56.6384969619746,1
11039,Bajo,56.1138010965813,1
11040,Alto,52.5499917148746,3
11041,Muy bajo,57.7259982373562,1
11042,Bajo,56.2909819677847,1
11043,Medio,53.004785386498,3
11044,Muy bajo,57.7476757905276,1
11045,Alto,51.4984381356938,3
11046,Bajo,55.54535694064,1
12001,Bajo,56.4365962739593,1
12002,Muy alto,45.2767029499794,0
12003,Muy alto,48.200120627665,0
12004,Muy alto,44.2220999658423,0
12005,Medio,52.8246988915791,2
12006,Alto,52.2489378040438,0
12007,Medio,53.7957024788327,1
12008,Alto,49.298446956923,0
12009,Muy alto,42.5238805337985,0
12010,Muy alto,44.3202127135831,0
12011,Medio,53.5449486798105,0
12012,Muy alto,45.9408493832503,0
12013,Alto,49.8393979076159,0
12014,Bajo,55.3964710554366,1
12015,Bajo,55.9209097976551,1
12016,Muy alto,43.0943701858677,0
12017,Medio,52.7122284399439,0
12018,Alto,52.0269598671923,1
12019,Muy alto,40.4725102368328,3
12020,Muy alto,42.2605597061693,0
12021,Alto,52.2596397043313,0
12022,Alto,49.1333331474592,0
12023,Alto,51.7467112006845,0
12024,Alto,50.1261389887712,0
12025,Muy alto,47.3225577892906,0
12026,Muy alto,45.8130475564146,3
12027,Alto,50.5348241107247,2
12028,Muy alto,47.4357642894414,0
12029,Bajo,56.4592257608969,1
12030,Alto,51.5955507312618,0
12031,Muy alto,48.0118326224054,0
12032,Muy alto,45.6698752615873,0
12033,Medio,53.6505222551009,0
12034,Alto,51.2365191744536,3
12035,Bajo,55.7895844043228,1
12036,Muy alto,48.7133160121417,0
12037,Alto,52.1177767047208,3
12038,Muy bajo,56.748029274377,1
12039,Medio,53.5118846330154,0
12040,Alto,51.1519552152027,0
12041,Muy alto,45.3324507124554,0
12042,Muy alto,48.5815374007268,0
12043,Muy alto,42.351004192881,0
12044,Medio,53.0826918075022,0
12045,Muy alto,43.860879970178,3
12046,Alto,50.4400899870696,0
12047,Muy alto,42.996757331168,0
12048,Medio,54.4120445052535,1
12049,Medio,54.2025780406098,1
12050,Bajo,55.5566947257302,1
12051,Alto,49.32904025856,0
12052,Muy alto,43.0320666710239,0
12053,Alto,49.7522681067576,0
12054,Muy alto,43.5195868494238,0
12055,Medio,54.4861630706619,4
12056,Alto,48.73583770698,3
12057,Medio,53.3607669708077,1
12058,Alto,51.8347732008869,0
12059,Alto,50.4575567817469,0
12060,Alto,51.6791406842709,3
12061,Alto,52.095926363026,1
12062,Muy alto,42.9498142939214,0
12063,Muy alto,43.2358146617746,0
12064,Alto,52.4707007156309,2
12065,Muy alto,48.2294089607467,0
12066,Alto,51.9549092132451,0
12067,Alto,52.5353641127522,0
12068,Alto,52.0026121875048,0
12069,Muy alto,42.7092379669983,0
12070,Alto,51.7109989395778,0
12071,Muy alto,44.9632422882057,0
12072,Muy alto,45.4486528432519,0
12073,Alto,49.271698445831,0
12074,Muy alto,47.115809033987,0
12075,Medio,53.0690125736696,0
12076,Muy alto,42.3290468222848,0
12077,Alto,52.3105065634206,0
12078,Muy alto,32.2054405826744,0
12079,Muy alto,40.1205824124184,0
12080,Muy alto,48.4807047866643,0
12081,Muy alto,46.8394099050317,0
13001,Medio,53.8667099373994,3
13002,Alto,50.6464687985813,0
13003,Muy bajo,57.3824185084775,1
13004,Medio,53.4299811637465,3
13005,Muy bajo,57.0553962398985,1
13006,Medio,54.2353758181073,2
13007,Bajo,56.2583067597882,1
13008,Muy bajo,57.7474115064364,1
13009,Bajo,55.6060620630837,2
13010,Muy bajo,59.1898792480148,1
13011,Medio,52.7269551593486,2
13012,Bajo,54.7205438694626,1
13013,Muy bajo,59.0628086224216,1
13014,Medio,52.8849880758851,2
13015,Bajo,54.743631621877,2
13016,Bajo,54.9794018094685,1
13017,Medio,53.4654740381378,2
13018,Medio,53.1936148046156,2
13019,Bajo,54.8618890064786,2
13020,Medio,54.4948652303664,2
13021,Muy bajo,58.1525533355708,1
13022,Bajo,56.3274528646033,2
13023,Muy bajo,57.8573744796732,1
13024,Bajo,54.6416434661284,3
13025,Alto,50.7155578441141,3
13026,Alto,52.3888573389123,0
13027,Alto,48.8437651288761,0
13028,Medio,53.658295429392,2
13029,Bajo,56.0543571778057,2
13030,Bajo,56.5373323275692,1
13031,Medio,53.9656350750003,2
13032,Medio,53.3225471763921,0
13033,Medio,54.5171478419509,2
13034,Alto,52.3812068237934,2
13035,Bajo,54.9242779150512,2
13036,Bajo,55.2252338641373,2
13037,Medio,52.9106964158457,3
13038,Medio,53.8717747931378,3
13039,Muy bajo,57.2927515539903,1
13040,Alto,50.0579309274686,3
13041,Muy bajo,57.9806274191608,1
13042,Bajo,54.6963513866792,2
13043,Medio,53.6354238240691,2
13044,Medio,54.1033824954232,2
13045,Bajo,55.3892166322047,2
13046,Medio,52.8044712447808,2
13047,Alto,50.1399144054841,3
13048,Muy bajo,59.9239208918057,1
13049,Alto,52.6225794054406,2
13050,Muy bajo,58.4050711710475,1
13051,Muy bajo,59.8923618649699,1
13052,Muy bajo,56.7557695444204,1
13053,Muy alto,48.6917271382493,0
13054,Bajo,56.4194329487375,2
13055,Bajo,55.4493166716119,2
13056,Muy bajo,57.5532000541543,1
13057,Bajo,54.7241840438598,2
13058,Bajo,54.8078096481028,2
13059,Medio,54.5508107864517,2
13060,Medio,53.263527658287,2
13061,Muy bajo,59.1760171326859,1
13062,Alto,48.8791422979532,0
13063,Muy bajo,57.3885068059967,1
13064,Bajo,55.7767683218919,2
13065,Muy bajo,58.1302303404046,1
13066,Muy bajo,57.7164410401393,1
13067,Muy bajo,57.0545075052865,1
13068,Alto,50.1799333412537,0
13069,Muy bajo,59.4173310959409,1
13070,Muy bajo,57.5885857984551,1
13071,Alto,51.2630569211976,2
13072,Muy bajo,58.7598955640261,1
13073,Medio,52.873803942599,0
13074,Muy bajo,58.3417799660763,1
13075,Muy bajo,57.993431264,1
13076,Muy bajo,58.4276960546106,1
13077,Muy bajo,58.0695656770432,1
13078,Muy alto,48.693750132664,0
13079,Bajo,54.7350140076077,2
13080,Alto,48.8626706488855,0
13081,Bajo,56.5403864793947,1
13082,Muy bajo,57.8572152914156,1
13083,Muy bajo,58.5100221301433,1
13084,Bajo,55.9023554986788,1
14001,Muy bajo,56.8976906563699,1
14002,Muy bajo,58.7390304017307,1
14003,Muy bajo,59.1647776340978,1
14004,Bajo,56.3817464491134,2
14005,Muy bajo,58.2852514149864,1
14006,Muy bajo,58.3850413147151,1
14007,Muy bajo,57.9549402790243,1
14008,Muy bajo,57.9494689342465,1
14009,Muy bajo,58.793772716188,1
14010,Bajo,56.186967637558,1
14011,Bajo,54.6486400613693,2
14012,Muy bajo,57.5300838859949,2
14013,Muy bajo,58.192501513986,1
14014,Bajo,56.2831263917451,1
14015,Muy bajo,58.6789279598896,1
14016,Bajo,56.5231794872051,1
14017,Muy bajo,57.3527331443888,1
14018,Muy bajo,57.6883100108335,1
14019,Muy alto,41.1824696936993,3
14020,Bajo,54.9283691215401,2
14021,Muy bajo,57.5324544784367,1
14022,Muy bajo,57.2619110540223,1
14023,Muy bajo,59.9441552048355,1
14024,Muy bajo,57.8695963384277,1
14025,Muy bajo,58.3835945582496,1
14026,Muy bajo,58.0194070999676,1
14027,Alto,49.6395203501102,0
14028,Bajo,55.9206484653493,2
14029,Bajo,55.895252008151,1
14030,Muy bajo,59.0080061263008,1
14031,Alto,49.6121121567291,3
14032,Bajo,55.1020742789416,2
14033,Muy bajo,56.9801420466151,1
14034,Muy bajo,56.6053400806101,2
14035,Muy bajo,57.3853356938327,1
14036,Muy bajo,58.7912743363854,1
14037,Muy bajo,58.650684268875,1
14038,Bajo,55.7832171221202,2
14039,Muy bajo,60.7642604388961,1
14040,Bajo,55.1287492832085,2
14041,Bajo,56.41309984568,2
14042,Medio,54.5872290457939,1
14043,Muy bajo,56.7307347344086,1
14044,Muy bajo,58.1843604514573,1
14045,Bajo,56.4021063349792,1
14046,Muy bajo,58.2101957226458,1
14047,Muy bajo,57.690577793034,1
14048,Bajo,56.1135908102014,1
14049,Medio,53.7635807841454,3
14050,Muy bajo,57.5185138592717,1
14051,Muy bajo,59.408009890115,1
14052,Bajo,56.2586268931912,2
14053,Muy bajo,57.7071595290716,1
14054,Muy bajo,57.1860330566606,2
14055,Muy bajo,58.2058392980785,1
14056,Alto,50.6407720750318,3
14057,Muy bajo,57.3915315528247,2
14058,Muy bajo,58.2255869608959,1
14059,Muy bajo,57.8239662753763,1
14060,Bajo,56.0956584960145,2
14061,Muy alto,31.3056684364792,3
14062,Bajo,56.3081326261795,2
14063,Muy bajo,58.7587782029387,1
14064,Bajo,55.984986616106,1
14065,Bajo,56.3239905529311,1
14066,Bajo,56.4942336993815,1
14067,Muy bajo,59.7578031009193,1
14068,Bajo,56.0086274912701,1
14069,Medio,54.2105750843677,2
14070,Muy bajo,58.6380879319378,1
14071,Medio,54.382333089295,2
14072,Muy bajo,57.4509303493604,1
14073,Muy bajo,58.2880559875209,1
14074,Muy bajo,58.2926065820289,1
14075,Muy bajo,56.8271336684126,2
14076,Medio,53.3819718255399,3
14077,Muy bajo,57.5220420237496,1
14078,Muy bajo,57.623208743836,1
14079,Muy bajo,57.3301783256163,1
14080,Bajo,55.3418818201936,2
14081,Bajo,55.1148062210707,2
14082,Muy bajo,58.7429088079545,1
14083,Muy bajo,58.5579720860281,1
14084,Muy bajo,57.0865752530436,1
14085,Muy bajo,57.512424140821,1
14086,Muy bajo,56.5667974647515,1
14087,Muy bajo,56.9507872280508,1
14088,Muy bajo,57.8511448403694,1
14089,Bajo,55.9364394093109,2
14090,Muy bajo,56.9529360653482,2
14091,Muy bajo,57.1148795594554,1
14092,Bajo,56.0448422210952,2
14093,Muy bajo,59.1237133258666,1
14094,Muy bajo,57.9676593594859,1
14095,Muy bajo,57.3013674111292,2
14096,Muy bajo,57.0152420497042,1
14097,Muy bajo,59.9504294537918,1
14098,Muy bajo,60.0936135138161,1
14099,Medio,54.0856193248939,2
14100,Bajo,55.2807861176981,1
14101,Muy bajo,59.6390450844693,1
14102,Muy bajo,56.7078140746701,2
14103,Muy bajo,56.6318364929324,2
14104,Bajo,55.6579100639381,2
14105,Muy bajo,57.8106105633017,1
14106,Bajo,54.6741648285152,2
14107,Bajo,56.2111456884431,2
14108,Muy bajo,57.9724592480987,1
14109,Bajo,55.7614463904937,1
14110,Muy bajo,58.4865609129276,1
14111,Muy bajo,57.2541336081359,2
14112,Bajo,56.2892011058668,2
14113,Bajo,56.2676647535904,1
14114,Muy bajo,57.4551970641766,1
14115,Medio,53.1203941707621,3
14116,Muy bajo,57.6087678929162,1
14117,Bajo,55.8449830188748,2
