CVE_MUN,GM,IM,IMN,SOM labels
12001,Bajo,56.4365962739593,0.883718553399611,0
12002,Muy alto,45.2767029499794,0.708970155454287,3
12003,Muy alto,48.200120627665,0.754746807691892,3
12004,Muy alto,44.2220999658423,0.692456540440573,3
12005,Medio,52.8246988915791,0.827161267161256,3
12006,Alto,52.2489378040438,0.818145649831844,1
12007,Medio,53.7957024788327,0.842365831967186,1
12008,Alto,49.298446956923,0.771945069439304,3
12009,Muy alto,42.5238805337985,0.665864787590067,3
12010,Muy alto,44.3202127135831,0.69399284952418,3
12011,Medio,53.5449486798105,0.838439376454957,1
12012,Muy alto,45.9408493832503,0.719369764289777,2
12013,Alto,49.8393979076159,0.780415608471918,3
12014,Bajo,55.3964710554366,0.867431640046344,1
12015,Bajo,55.9209097976551,0.875643620874711,1
12016,Muy alto,43.0943701858677,0.67479786157647,3
12017,Medio,52.7122284399439,0.825400136416644,3
12018,Alto,52.0269598671923,0.814669784273106,1
12019,Muy alto,40.4725102368328,0.633743183683952,2
12020,Muy alto,42.2605597061693,0.661741549899707,3
12021,Alto,52.2596397043313,0.818313226696239,2
12022,Alto,49.1333331474592,0.769359616976202,2
12023,Alto,51.7467112006845,0.810281480184812,2
12024,Alto,50.1261389887712,0.784905574737933,3
12025,Muy alto,47.3225577892906,0.741005394969535,3
12026,Muy alto,45.8130475564146,0.717368565546592,3
12027,Alto,50.5348241107247,0.791305014970217,3
12028,Muy alto,47.4357642894414,0.742778051209522,2
12029,Bajo,56.4592257608969,0.884072899671021,0
12030,Alto,51.5955507312618,0.807914517607534,1
12031,Muy alto,48.0118326224054,0.751798479574746,3
12032,Muy alto,45.6698752615873,0.715126686666131,3
12033,Medio,53.6505222551009,0.840092511714567,1
12034,Alto,51.2365191744536,0.802292583101293,1
12035,Bajo,55.7895844043228,0.873587247984027,0
12036,Muy alto,48.7133160121417,0.762782733185691,3
12037,Alto,52.1177767047208,0.816091849556694,3
12038,Muy bajo,56.748029274377,0.888595160756902,0
12039,Medio,53.5118846330154,0.837921639498223,1
12040,Alto,51.1519552152027,0.800968429189243,2
12041,Muy alto,45.3324507124554,0.709843087829078,3
12042,Muy alto,48.5815374007268,0.760719263530588,3
12043,Muy alto,42.351004192881,0.663157784687714,3
12044,Medio,53.0826918075022,0.83120107716929,1
12045,Muy alto,43.860879970178,0.686800338027552,3
12046,Alto,50.4400899870696,0.789821610437674,1
12047,Muy alto,42.996757331168,0.673269380122173,3
12048,Medio,54.4120445052535,0.852016890322016,1
12049,Medio,54.2025780406098,0.848736937005518,1
12050,Bajo,55.5566947257302,0.869940519735773,1
12051,Alto,49.32904025856,0.772424117965462,3
12052,Muy alto,43.0320666710239,0.673822275243408,3
12053,Alto,49.7522681067576,0.779051277051243,2
12054,Muy alto,43.5195868494238,0.681456162742882,3
12055,Medio,54.4861630706619,0.853177483903614,1
12056,Alto,48.73583770698,0.763135391582841,3
12057,Medio,53.3607669708077,0.835555347222355,1
12058,Alto,51.8347732008869,0.811660408549849,1
12059,Alto,50.4575567817469,0.790095116133337,2
12060,Alto,51.6791406842709,0.809223419937386,3
12061,Alto,52.095926363026,0.815749703615431,1
12062,Muy alto,42.9498142939214,0.672534317490714,3
12063,Muy alto,43.2358146617746,0.677012685217288,3
12064,Alto,52.4707007156309,0.821618148394197,3
12065,Muy alto,48.2294089607467,0.755205422226631,3
12066,Alto,51.9549092132451,0.813541571307027,1
12067,Alto,52.5353641127522,0.822630687199418,2
12068,Alto,52.0026121875048,0.814288533494487,3
12069,Muy alto,42.7092379669983,0.668767227027308,3
12070,Alto,51.7109989395778,0.809722275877545,1
12071,Muy alto,44.9632422882057,0.70406179774211,3
12072,Muy alto,45.4486528432519,0.711662651475881,3
12073,Alto,49.271698445831,0.771526224982188,3
12074,Muy alto,47.115809033987,0.737767997198997,3
12075,Medio,53.0690125736696,0.830986879405209,1
12076,Muy alto,42.3290468222848,0.662813962822808,3
12077,Alto,52.3105065634206,0.819109730916872,1
12078,Muy alto,32.2054405826744,0.504292378391542,3
12079,Muy alto,40.1205824124184,0.628232483740553,3
12080,Muy alto,48.4807047866643,0.759140365125689,3
12081,Muy alto,46.8394099050317,0.733439971511275,3
13001,Medio,53.8667099373994,0.843477709945449,2
13002,Alto,50.6464687985813,0.793053215403292,3
13003,Muy bajo,57.3824185084775,0.898528813267238,1
13004,Medio,53.4299811637465,0.836639145156619,3
13005,Muy bajo,57.0553962398985,0.893408099666523,1
13006,Medio,54.2353758181073,0.849250504555625,2
13007,Bajo,56.2583067597882,0.880926787737756,1
13008,Muy bajo,57.7474115064364,0.904244095645208,0
13009,Bajo,55.6060620630837,0.870713543532946,2
13010,Muy bajo,59.1898792480148,0.926831132959176,0
13011,Medio,52.7269551593486,0.825630736346971,3
13012,Bajo,54.7205438694626,0.856847561019098,2
13013,Muy bajo,59.0628086224216,0.924841383809818,0
13014,Medio,52.8849880758851,0.828105311881492,3
13015,Bajo,54.743631621877,0.857209083090092,2
13016,Bajo,54.9794018094685,0.860900916100392,1
13017,Medio,53.4654740381378,0.837194914173248,2
13018,Medio,53.1936148046156,0.832937976929721,3
13019,Bajo,54.8618890064786,0.859060829151135,2
13020,Medio,54.4948652303664,0.853313747613569,3
13021,Muy bajo,58.1525533355708,0.910588052843235,0
13022,Bajo,56.3274528646033,0.882009519506763,2
13023,Muy bajo,57.8573744796732,0.905965962767822,1
13024,Bajo,54.6416434661284,0.855612090510587,2
13025,Alto,50.7155578441141,0.794135053703348,3
13026,Alto,52.3888573389123,0.820336595018299,3
13027,Alto,48.8437651288761,0.764825384804387,3
13028,Medio,53.658295429392,0.840214228805841,2
13029,Bajo,56.0543571778057,0.877733221125746,2
13030,Bajo,56.5373323275692,0.885295939802208,1
13031,Medio,53.9656350750003,0.845026739923642,2
13032,Medio,53.3225471763921,0.83495687843327,1
13033,Medio,54.5171478419509,0.853662662299703,3
13034,Alto,52.3812068237934,0.820216798598955,3
13035,Bajo,54.9242779150512,0.860037752631146,2
13036,Bajo,55.2252338641373,0.864750303945764,2
13037,Medio,52.9106964158457,0.828507868706323,3
13038,Medio,53.8717747931378,0.843557018537424,2
13039,Muy bajo,57.2927515539903,0.897124753551756,0
13040,Alto,50.0579309274686,0.783837531424834,3
13041,Muy bajo,57.9806274191608,0.907895932265938,0
13042,Bajo,54.6963513866792,0.856468740408004,2
13043,Medio,53.6354238240691,0.83985609129748,2
13044,Medio,54.1033824954232,0.847183672820867,2
13045,Bajo,55.3892166322047,0.867318045874698,2
13046,Medio,52.8044712447808,0.826844530363726,2
13047,Alto,50.1399144054841,0.78512127859206,3
13048,Muy bajo,59.9239208918057,0.938325203516463,0
