CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,rbf Component 1,rbf Component 2,cosine Component 1,cosine Component 2,sigmoid Component 1,sigmoid Component 2
19049,Muy bajo,60.0346286701757,0.940058733250898,-0.03461830963650858,0.018171212078975343,0.02085182540482472,0.03482953812348727,-0.02666612456959735,0.011582590902602713,-0.03712119849788162,0.013093722949995938
19050,Bajo,56.1667834594014,0.879493660229012,-0.009251148099573177,-0.018899966567687394,0.008996662103086802,-0.026774048417519066,-0.010829754403869532,-0.03799998641266463,-0.01035437522274208,-0.034669518772526324
19051,Muy bajo,56.8595408974011,0.89034127757989,-0.01406410396778569,-0.014899374978962127,0.018232437547114247,-0.022037521046458747,-0.018447354626743316,-0.029941745928744153,-0.01616086721298136,-0.026906579015261254
20001,Alto,52.0519309696566,0.815060796984778,0.012460975951481473,-0.021399421586438247,-0.02611271350706871,-0.0036907339928878694,0.022297607708761307,-0.011362083927584558,0.014456203006284769,-0.021557428612576295
20002,Medio,52.9517543076979,0.829150778151412,0.0054924623340669165,-0.002618955259982318,-0.01456461030145124,-0.019786390760509677,0.025964323997074077,0.008314487701775834,0.006524859416900626,0.009511717250887175
20003,Alto,49.9452112764873,0.78207249856528,0.021113287678601496,-0.003577933858401738,-0.029248005272333243,0.015399048120835533,0.026807465075102233,0.004783831653235895,0.02136781191687318,-0.008634676061287535
20004,Medio,54.5721862280029,0.854524486826951,-0.0007552704459413202,-0.016504546159655662,-0.004414773638648837,-0.034820215440911344,0.0026021993944234825,-0.04189354212902794,0.0002552903639420427,-0.020289506902029943
20005,Bajo,56.0071673204713,0.876994293635218,-0.01124773457905972,-0.0004636084491859095,0.021898214734681478,-0.008781306717706463,-0.02250096009113581,0.0027660898691114406,-0.010943379106918305,0.0012696781913187178
20006,Medio,54.4235055062135,0.852196353646483,-0.003737302016989823,0.01736914537634856,0.008892847040802171,0.006590106168907751,-0.008376306198763811,0.03994083072869076,-0.003126390336945216,0.044575080652267236
20007,Muy alto,46.2793385733478,0.724670033922664,0.04305403027629157,-0.004395481485290346,-0.008632718624644223,0.029660698739423962,0.024144982877312562,0.011107333590684413,0.04224873030078396,-0.01618348048251134
20008,Medio,52.9604097461335,0.829286310271319,0.009011483172560526,-0.016438797889181487,-0.01886439619590385,-0.01618124644974635,0.016690675663363255,-0.025796964084350206,0.011237649803857459,-0.02584198832828569
20009,Alto,52.363232373329,0.819935343720182,0.01165516001159967,-0.018659400440596174,-0.027572183470605065,-0.015717609093307678,0.026817813061343104,-0.015253274732940249,0.01437600519338143,-0.01592946454770181
20010,Bajo,56.3840902019967,0.882896381386717,-0.01297111525611791,-0.011799898049044855,0.017715255785641298,-0.022129667426348785,-0.01811383023564697,-0.031006542532229814,-0.014484080233281255,-0.025163757509926877
20011,Alto,49.4330332422244,0.774052503359958,0.024868257168161427,-0.008237044890702943,-0.031760778858684224,0.015469017416480537,0.029838241202464835,0.0016805387708336945,0.027184512489771547,-0.01577620961056494
