CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,linear Component 3,rbf Component 1,rbf Component 2,rbf Component 3,cosine Component 1,cosine Component 2,cosine Component 3,sigmoid Component 1,sigmoid Component 2,sigmoid Component 3
20559,Medio,53.6106634174365,0.839468377789303,0.0024406711261767133,-0.009691728162897857,-0.004251063977766041,-0.009545330509091858,-0.02393350159030676,0.012140088916438509,0.012307425373387873,-0.011910040368981885,-0.008121709269962094,0.0035855907066342763,-0.0015381189633368103,0.00153312951028853
20560,Alto,52.0265824626296,0.814663874642898,0.016826028629474972,-0.020566195661595933,-0.011948849632723208,-0.02960046114110437,0.003022628278665557,0.0013628164742866874,0.025885047171785504,-0.004777306724249331,-0.024434900487424235,0.019758102348557346,-0.01885859513829526,-0.0169619662819395
20561,Alto,49.8365052381525,0.780370313293923,0.022406655938883423,0.00768489761717295,0.006174619833154538,-0.026827897467438026,0.013177043006537706,0.007492969072759087,0.02663588567311396,0.010843884654922413,0.011206390623950745,0.022789795383783014,0.00479262597211208,0.0017922063951775688
20562,Medio,53.998055275422,0.845534395142226,0.0033621833689899874,-0.017188976330403918,0.006777917025107198,-0.012681567495302531,-0.02758100326294949,0.005826140580059686,0.011840770673718281,-0.023813461470689076,-0.020011363626094354,0.005067257277749649,-0.013143955439512588,-0.009652405317342762
20563,Muy alto,47.0043418380691,0.736022576042663,0.034919948624925645,0.003864353793179288,0.015213384750603255,-0.013626994180977679,0.02647753389191719,-0.01705116568536318,0.024395952732067634,0.0018604131077131511,0.007107670342520961,0.035948253454652586,-0.026359590979732492,0.006909852863190548
20564,Alto,50.6256169489425,0.792726704457999,0.020462430480444303,-0.016464834464671816,-0.016989863954560425,-0.035090617572900426,0.008927001443315217,0.007061941402770921,0.030746156507975755,0.0025697622895670415,-0.01418203595010715,0.023257558517541563,-0.01197931537693069,-0.012546295789630476
20565,Alto,51.8806135514583,0.812378204642612,0.0036337202154067797,0.03746597013530663,-0.023184765510602955,-0.003965296916292828,0.02458263801537189,-0.00431906791991559,0.0009647276914730264,0.03194979928849839,0.04125421159844868,0.0004901881322735063,0.06402263664880321,0.034906685391366404
20566,Alto,49.6370734554883,0.777247489131701,0.025143064772476516,-0.008901500660990548,-0.022760254681078385,-0.03385378675486043,0.02262245022589079,0.003900824557592791,0.030386555396728215,0.01174082854672062,-0.0063159939549158614,0.026866165782184478,-0.0039965853023405115,-0.011474345309953903
20567,Muy alto,48.1187576430958,0.753472776588479,0.030430234278829453,-0.0034516049118359753,-0.014733705941763759,-0.028563516100044935,0.02630141659537277,-0.005928895949977409,0.03035435627951958,0.010163521249693728,0.012007078649174326,0.032512252554143375,-0.00750169116488354,0.002289236886454743
20568,Medio,52.7085923713286,0.825343200642538,0.0086172927910744,-0.02018423537504616,0.008746106658497914,-0.020692708929652366,-0.019018733524776333,-0.014880728280753912,0.018293581905974746,-0.027484466211735174,-0.014218425135851746,0.011020390975486358,-0.02692993318623404,0.004817405403888891
20569,Alto,49.8131705337607,0.780004924298652,0.017064627801692225,0.0027412380588324676,0.0040819374944508465,-0.013597755901057284,0.017545932167735152,-0.012243869741718599,0.015506771056325778,0.0017835453456096064,0.040291010714438746,0.01789917957651331,-0.0029718884759745196,0.03781022185116716
20570,Medio,54.1300585255153,0.847601382326397,-0.001375834821821413,0.013009644419892472,-0.013779841419840278,0.0035144034243908082,0.005735778939976875,0.02705687518286914,-0.003744268237420173,0.033072994656197445,0.015400932811099112,-0.000956525418088703,0.03556113651783664,0.007558293784199287
21001,Medio,54.1870446725267,0.848493706079521,-0.0006413923729577291,0.008401968189168812,-0.01943600382530383,0.0001910073593844375,0.0031824905347219734,0.045523492179903056,-0.0004636362247592187,0.039555158934237306,-0.00978822397788858,0.00037612235864012465,0.03766140380699627,-0.015688484914053707
21002,Alto,51.505070239247,0.806497719026591,0.013108715338097232,-0.003610158119031622,0.0001426452190983974,-0.025938022516373338,-0.00989988487778029,0.008358118064992521,0.028219256146697732,-0.0028012329137809674,0.02171775277128495,0.014312650991550218,-0.0012729653071211937,0.01480784774758863
21003,Medio,53.981285833308,0.845271809017182,-0.0015597512534532571,0.004737539344593146,-0.00655476443063367,0.002719091450532106,-0.010293941857327826,0.03500379190636535,-0.003920421226248464,0.025942510224571017,0.020534741016219993,-0.0008702331714707973,0.025169726522554517,0.008104850620543875
21004,Medio,54.3040399526349,0.8503256893407,0.0002546652903825431,0.003505602883838542,-0.020055915837537408,-0.002255305608114383,0.0011984939029782019,0.04708917783034694,0.0018233362305907742,0.035559462397792466,-0.02016292141780774,0.0013062992356180406,0.032946326577965965,-0.024680056826339055
21005,Muy alto,47.1913584890913,0.738950996521826,0.030122271819835008,0.013948889607216224,-0.003860685206999159,-0.01468474516023311,0.026597259093026213,-0.011120975799031681,0.022579768086841385,0.014205619973688374,0.03620440213366739,0.030964148435047596,0.01072096744026114,0.018714737312559623
21006,Alto,49.9003552247959,0.781370115223104,0.02244048098885521,-0.013413146105138083,-0.02599505841391774,-0.026832496536861927,0.023580959215807197,-0.00673256430371991,0.0250821908619746,0.007068181837048439,-0.010592164365665286,0.023187412769968208,-0.009572468876095521,-0.012030284590047647
21007,Alto,51.5294292706956,0.80687914755799,0.014540277867263461,-0.014560343294663936,0.006219182747829017,-0.02688185885366927,-0.009008679350278749,0.0035832356036471667,0.02513948457506471,-0.011331182881810212,-0.0053461369969174935,0.017570754573318848,-0.015156072380511589,-0.000632120027245036
