CVE_MUN,GM,IM,IMN,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2
5026,Bajo,56.4638302346,0.884144999321047,-3.9457295,-15.834156,0.47885874,8.934014,-2.6138287,-5.4557767,-2.2996135,-3.911276
5027,Muy bajo,60.1650088427359,0.942100305299779,-29.321047,8.510308,-18.816282,2.7160306,-12.908672,3.8014143,-10.315322,2.811869
5028,Muy bajo,59.7511520314129,0.935619883609541,-26.903212,8.458538,-17.41936,2.2735796,-11.826256,3.6767147,-9.441572,2.7162526
5029,Muy bajo,57.4433073588306,0.8994822479232,-9.444981,-15.335564,-2.987099,9.956911,-5.4052067,-4.817673,-4.668154,-3.3597867
5030,Muy bajo,60.7375040578758,0.951064783612676,-35.2935,13.46498,-23.048304,0.6363324,-15.088932,6.653419,-12.062096,5.181022
5031,Muy bajo,59.9613705887526,0.938911613650952,-27.27043,8.09259,-17.613583,2.6244426,-12.090827,3.4745803,-9.672012,2.5363977
5032,Muy bajo,59.7579886590898,0.935726935684252,-26.651445,8.013322,-17.244917,2.5012608,-11.793039,3.473142,-9.42212,2.546385
5033,Muy bajo,57.059406535828,0.893470895319548,-15.350779,8.912752,-11.053384,0.08682491,-7.0099587,3.1352801,-5.6476912,2.3170483
5034,Muy bajo,57.9045374458784,0.906704469180692,-12.404331,-16.579636,-4.568274,11.48894,-7.166705,-5.244432,-6.2391424,-3.7242765
5035,Muy bajo,60.2884207175746,0.944032763504298,-34.294197,13.654448,-22.46869,0.44797415,-14.679766,6.5306225,-11.750403,5.059997
5036,Bajo,54.8588292288359,0.85901291729162,1.1801916,-12.5683365,1.7067415,6.1881485,-0.71802825,-3.965685,-0.7874734,-2.749418
5037,Muy bajo,58.337700821595,0.913487204799895,-20.890024,10.519463,-14.253521,-0.04321145,-9.009683,4.1773868,-7.184457,3.1020188
5038,Muy bajo,57.7682332789898,0.904570135625203,-18.215466,14.358974,-12.578524,-1.7057687,-7.389707,4.636559,-5.9360614,3.3944857
6001,Bajo,56.4059237449604,0.883238264283229,-14.178916,0.70179796,-8.828881,3.960111,-6.649933,0.25657213,-5.2989035,0.33342767
6002,Muy bajo,59.7711755354347,0.935933423815301,-29.005613,9.208834,-18.711592,2.2508702,-12.675201,4.0890455,-10.11261,3.040368
6003,Muy bajo,57.1625072020632,0.895085308264963,-16.081661,6.228849,-10.79317,1.7982903,-7.351149,1.9171385,-5.8587403,1.3178715
6004,Muy bajo,57.1251916292823,0.89450099832825,-16.819983,9.982034,-11.911844,2.6929533,-7.8162756,2.8239522,-6.323369,1.965354
6005,Muy bajo,58.1700784403634,0.910862471594152,-21.337208,3.9432,-13.82542,3.4124968,-9.824361,2.0185766,-7.8410363,1.4915271
6006,Bajo,55.0289760226252,0.861677179284729,-0.6301436,-13.227855,2.0795157,6.8895583,-0.783281,-4.9435205,-0.81798804,-3.6157122
6007,Muy bajo,59.7547410038696,0.935676081923348,-30.268497,8.752144,-19.400091,2.6709313,-13.266277,4.0150924,-10.594307,2.977446
6008,Muy bajo,57.3805329920052,0.898499288703402,-23.278467,3.916063,-14.568072,4.115196,-10.399455,1.6871126,-8.251787,1.1918871
6009,Muy bajo,57.1954216340676,0.895600702462298,-12.079858,13.581708,-12.830734,4.1849155,-8.231589,4.114105,-6.861078,2.9687755
6010,Muy bajo,60.5120922228991,0.947535147988342,-29.811266,8.857215,-19.20459,2.6357172,-13.152037,3.973127,-10.512316,2.9519567
7001,Medio,53.2907904738896,0.834459612668694,1.666176,10.658573,-2.158849,-6.2589,1.1067826,4.2980986,0.7638939,2.960991
7002,Medio,53.3009496928406,0.834618691898622,1.4521428,13.120213,-2.9826005,-7.411318,0.8593725,5.3430285,0.57013494,3.840453
7003,Alto,52.1499492969481,0.816595627575556,10.145699,7.4806027,4.310994,-6.9214163,5.8616977,2.6679926,5.295655,1.3578882
7004,Alto,49.7840661417914,0.779549190025736,19.655897,0.9044795,10.762861,-5.7603354,9.507783,-0.3160122,7.6991816,-0.63830256
7005,Alto,48.7593250790908,0.763503171142121,26.32097,-1.6502391,14.661755,-5.958562,11.891652,-1.5152173,9.596609,-1.7099091
7006,Alto,52.2296012272431,0.817842865950352,15.422512,-10.452343,10.1628895,0.9179548,6.6767807,-4.129117,5.229429,-3.2441995
7007,Muy alto,45.981946197677,0.720013283208214,25.236784,2.8605554,13.393108,-8.178629,11.881661,0.6022239,9.765579,0.11745074
7008,Alto,51.5472580763044,0.807158321841021,19.842194,-3.7648585,11.503143,-3.097968,9.04028,-2.4467323,7.1661396,-2.2084978
7009,Medio,54.5793351882981,0.854636429595784,-4.251751,6.9361854,-6.792735,-4.772709,-2.334244,4.471503,-1.9714284,3.3653383
7010,Alto,49.7756697893572,0.779417714832035,17.917944,7.983664,7.8377905,-9.716511,9.067326,3.5990353,7.668068,2.7214923
7011,Alto,51.5097790448289,0.806571452368638,14.940933,3.1109602,7.341614,-6.061219,7.4848413,1.2425938,6.212654,0.6700466
7012,Medio,53.2988113851827,0.834585208976637,6.084286,9.523463,0.29838565,-7.898435,2.5295663,5.2545133,1.6063815,3.7746193
7013,Alto,52.0224667435321,0.814599428209782,4.558518,10.785331,10.175432,-4.136425,8.462607,-1.2872951,6.6414747,-1.0785726
7014,Alto,50.0944470305582,0.784409322778825,23.922039,-5.4465485,14.400544,-3.3002975,10.968334,-3.2043395,8.693093,-2.914641
7015,Medio,54.5750731851716,0.854569692558361,-2.0336928,10.209655,-4.0961094,-4.3544164,-0.75625056,3.742239,-0.67487895,2.5297723
7016,Alto,52.1298806862818,0.816281381062519,11.312916,-5.7637663,7.139736,-0.20257539,5.1495066,-2.3907819,4.152666,-1.8510121
7017,Medio,53.7799251744326,0.842118781337958,-1.5760229,9.806736,-3.6010668,-4.865183,-0.26286834,4.059404,-0.32586086,2.885948
7018,Alto,52.2651458294411,0.818399444952443,15.604051,-8.127472,10.011479,-0.26384386,7.0391264,-3.423098,5.598829,-2.780015
7019,Bajo,54.9683255947039,0.860727477992228,-5.5806665,7.4265513,-7.742813,-4.860372,-3.5959983,5.5545835,-2.7717006,3.91903
7020,Alto,50.345273777775,0.788336920558257,19.121786,-4.6596503,11.482912,-2.9105225,8.987698,-2.2355695,7.1481338,-1.9272277
7021,Medio,53.1786471264422,0.832703603920424,0.877995,9.514882,-1.7065806,-5.551232,1.2854438,3.717486,1.1616906,2.2216153
7022,Muy alto,37.8069459586062,0.592004156820721,23.96916,7.25906,12.054274,-10.42972,12.128533,2.2807229,10.0709095,1.3925062
7023,Muy alto,46.3278465780139,0.725429601765908,28.021072,-6.0102572,13.682991,-6.6741962,12.728133,-3.797063,10.068547,-3.4324615
7024,Muy alto,46.4378836071254,0.727152628500454,24.416258,2.9892092,12.942526,-8.203185,11.852877,0.62800246,9.708568,0.012777154
7025,Alto,51.5044924730301,0.806488672011725,14.40636,-3.5851243,8.55777,-2.4348624,7.144216,-1.4390945,6.2275834,-4.997325
7026,Muy alto,45.4293080626882,0.711359739134878,27.999125,-4.4951262,14.056343,-7.165473,12.914701,-2.0995955,10.309328,-2.0683455
7027,Bajo,55.0370926693881,0.86180427467689,-6.7914586,11.465475,-6.589047,-3.716315,-2.9703536,4.2307115,-2.3738146,3.2775419
7028,Alto,51.6651883576316,0.809004945920024,19.833988,-7.401967,12.2149,-1.5069324,8.838814,-3.527364,7.0032163,-2.9514494
7029,Medio,53.411133839476,0.836344022288845,10.8869095,-7.157951,6.410775,0.25449428,4.156904,-2.1720326,2.5821981,-1.1630603
7030,Alto,50.6852195036764,0.793659997514736,19.524124,-4.3053894,11.654218,-2.9939795,9.098704,-2.4231791,7.239425,-2.1462243
7031,Muy alto,45.2557776016108,0.708642493621175,26.52316,1.4897059,15.539784,-7.488236,13.00086,-0.9063069,10.336265,-1.1484407
7032,Alto,52.5820017564812,0.823360967793416,2.6455393,9.709904,-0.9912429,-6.084192,2.047374,3.837029,1.6203989,2.357001
7033,Alto,49.9740571910312,0.782524185441443,24.48948,-5.211922,14.216633,-3.372602,10.736662,-3.0903766,8.492613,-2.8443992
7034,Medio,53.310646120513,0.834770524461207,2.970269,7.286566,-0.04480578,-5.56064,2.3424428,3.1713111,3.5747664,-1.3211793
7035,Alto,52.3329033180957,0.819460432924949,11.73433,-5.942454,7.0863094,-0.63464814,4.8764944,-2.0617507,3.977277,-1.3804337
7036,Alto,52.0599373900267,0.815186166385033,12.343549,6.0463614,5.4391212,-7.302674,6.6771145,2.6628337,5.996148,1.4801873
7037,Alto,52.5506286011626,0.822869707843947,5.554193,8.874381,0.8336567,-7.1822047,3.3431654,4.2373133,2.4474573,3.1971207
7038,Muy alto,48.5315608456366,0.759936700231522,21.63728,2.2244325,11.584361,-7.0720873,10.506067,0.19989163,8.599837,-0.27466917
7039,Alto,48.9210111099177,0.766034949362297,26.183973,-4.466629,15.248549,-4.3902225,11.887331,-2.7721505,9.494335,-2.6450295
7040,Medio,54.488482551691,0.853213803748449,-2.9342735,10.444186,-5.2147784,-4.592816,-1.470066,4.360287,-1.361572,3.218708
7041,Alto,52.2893584036738,0.818778580167671,13.316391,-11.076511,10.703622,0.5475181,7.124787,-3.9827287,5.6342554,-3.038139
7042,Medio,52.9477110108393,0.829087465749765,14.472471,-8.900697,9.310307,0.54292226,6.1767225,-3.6891053,4.814285,-2.952444
7043,Medio,53.4659644235862,0.837202592926888,-0.40259418,9.814131,-2.855518,-5.0854445,0.34020987,4.047928,0.3044244,2.7447095
7044,Alto,51.6527299008629,0.808809863825778,20.156214,-5.257493,12.059726,-2.676661,9.210611,-2.5805087,7.255782,-2.218596
7045,Alto,51.0570492659982,0.79948233410773,19.037031,-5.75467,11.5005665,-1.9961301,8.565825,-2.8467135,6.837832,-2.447472
7046,Medio,53.4321289661094,0.83667277675247,2.3580897,7.604046,-0.54956365,-5.2993765,1.7669096,3.1584656,0.861286,1.4382948
7047,Alto,52.5191148773229,0.822376246787071,17.299894,-7.0575504,10.501993,-1.4692005,7.6615605,-2.7850144,6.1257167,-2.203295
7048,Medio,53.716152579478,0.841120191254916,3.3928144,8.016552,0.06794914,-6.1420116,2.2997425,3.6805754,0.58419645,2.1509936
7049,Alto,50.5089646729303,0.790900092163596,21.662842,-6.180246,12.900737,-2.9786825,9.944786,-2.6827443,7.9380474,-2.335855
