CVE_MUN,GM,IM,IMN,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 200 Component 3,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 300 Component 3,Perplexity 400 Component 1,Perplexity 400 Component 2,Perplexity 400 Component 3
4009,Bajo,54.8902956416295,0.859505637523358,-2.1887984,-2.253917,1.1299827,-1.4359668,-1.7417092,0.7281931,-1.3343323,-1.0786228,1.2410597
4010,Alto,50.7093716101968,0.794038185889743,2.4875674,-2.0603309,2.6432865,2.3524091,-3.2013533,0.06038165,3.4755156,-2.4656482,-1.2701927
4011,Alto,50.5139363387235,0.790977941530723,2.3264976,-3.9482555,1.6817724,1.7564996,-3.7407248,1.1529089,2.2246616,-2.1652157,1.0186207
4012,Bajo,55.8783319762054,0.874976911447448,-3.5737867,-1.5678067,0.8079351,-2.774785,-1.1641432,0.39884537,-2.676863,-0.9949932,0.6663884
5001,Muy bajo,57.8201477198815,0.905383043518916,-2.1229491,3.751108,-3.5310986,-1.9858575,4.137868,-1.6368797,-2.3323665,2.2201529,-2.891708
5002,Muy bajo,58.4817122918216,0.915742223999208,-6.6111617,-0.70379275,2.392161,-5.207946,-0.82972676,2.2736945,-5.2835474,-1.3361803,0.4121093
5003,Muy bajo,59.7938289954527,0.936288145471786,-8.107142,2.5868397,0.78877264,-6.804843,1.7175609,1.2976974,-6.232812,1.4303153,-0.11204317
5004,Muy bajo,58.0449869593202,0.908903713094021,-6.570752,2.976261,-0.088208504,-5.612943,2.3798857,0.57291776,-5.2671537,1.825953,-0.5010701
5005,Bajo,55.9194917338476,0.875621415969041,-0.79941344,3.2464244,-2.1599746,-0.83342946,3.260347,-0.7059824,-1.1504982,2.119483,-1.9654315
5006,Muy bajo,59.3106239603317,0.928721827110563,-8.076343,2.1585028,0.921328,-6.7397676,1.3163617,1.3118566,-6.146924,1.1061854,0.030375866
5007,Muy bajo,57.220514347307,0.895993619429459,-6.477871,2.0979576,1.699078,-5.386973,1.2586964,1.7984402,-5.0860176,0.96076864,0.9940585
5008,Bajo,56.4434939150664,0.883826560859725,-1.808737,2.6499262,-3.0541775,-1.633987,3.164279,-1.6816996,-1.9206947,1.5218276,-2.496637
5009,Muy bajo,57.8246734818765,0.905453910653138,-5.223635,0.67777765,-0.016792744,-4.308183,0.7088139,0.26665282,-4.1339006,0.22917165,-0.39565194
5010,Muy bajo,60.0842709636714,0.940836062478594,-8.782112,2.9143815,0.3181764,-7.4174657,1.9591366,0.9394743,-6.807791,1.5857029,-0.119816095
5011,Muy bajo,57.1210015864091,0.894435388088245,-4.6001267,0.7436445,-0.39038152,-3.7763712,0.8989985,-0.08192529,-3.6060765,0.40278196,-0.57122403
5012,Bajo,55.6679087962824,0.871681977301161,0.6215655,2.4433942,-3.4004729,0.47666228,3.1723747,-1.5955786,-0.13228366,1.705313,-2.160642
5013,Bajo,56.0716090813527,0.878003361925379,-0.18558788,1.8143879,-3.6283836,-0.16239785,2.7869709,-2.2144914,-0.76082677,1.0729443,-2.2420166
5014,Bajo,55.4032123875801,0.867537199925627,1.4913193,2.6726172,-3.3373744,1.3270249,3.2581434,-1.1451982,0.4325222,2.0924704,-1.4992222
5015,Muy bajo,56.6770026083266,0.887482982016175,-1.1621861,3.134779,-2.9771383,-1.1218911,3.50025,-1.3675739,-1.4962091,1.9267365,-2.4116209
5016,Muy bajo,57.3261855621437,0.897648283588476,-2.0337753,3.3163917,-3.2989573,-1.8929921,3.726105,-1.6008542,-2.2167692,1.9484675,-2.661721
5017,Muy bajo,58.1804004142075,0.911024099339196,-6.3283887,1.3801708,-0.25568372,-5.293413,1.1117444,0.16710646,-4.8828874,0.76504296,-0.36133632
5018,Muy bajo,60.4768300568519,0.946982991543298,-9.632073,2.2465417,-0.19799636,-8.035682,1.3985587,0.38609394,-7.445893,1.0446731,0.10960222
5019,Muy bajo,59.4673507022789,0.931175949768852,-7.703382,2.5166874,0.7758663,-6.4470778,1.7184885,1.2629162,-5.944435,1.4052279,-0.07916686
5020,Muy bajo,58.9049613636146,0.922369715416957,-7.301415,1.5107554,0.9907317,-6.0399685,0.868623,1.2424043,-5.619971,0.69859076,0.32295287
5021,Muy bajo,57.7527937612693,0.904328374265269,-2.9367738,3.0357902,-3.4702823,-2.6889198,3.5338964,-1.8711187,-2.9391086,1.6528469,-2.7530284
5022,Muy bajo,58.9554821241229,0.923160800215486,-6.8474474,0.20523505,1.9414586,-5.530259,-0.115442544,1.922975,-5.3486047,-0.624158,0.0917027
5023,Bajo,55.1278959758259,0.863226128082429,-0.39826557,2.3591228,-2.0244129,-0.046343613,3.6290352,-2.2784224,-0.6586409,1.3996195,-3.1651971
5024,Muy bajo,57.9477297945311,0.9073808012487,-6.4684463,0.5308496,0.8046738,-5.285201,0.26096514,0.95146054,-5.009823,-0.00253456,0.06801158
5025,Muy bajo,59.2727558881289,0.92812886580183,-8.38578,0.2753185,0.6936096,-6.7862997,-0.20618822,1.0172406,-6.201235,-0.44469795,0.23915912
5026,Bajo,56.4638302346,0.884144999321047,-0.44515315,2.797367,-3.0481062,-0.4683082,3.2567074,-1.4287031,-0.9248234,1.7647369,-2.212348
5027,Muy bajo,60.1650088427359,0.942100305299779,-9.0087385,2.4869442,0.31846243,-7.5425506,1.598293,0.8653437,-6.9145007,1.2312984,-0.16262378
5028,Muy bajo,59.7511520314129,0.935619883609541,-8.17575,2.1339784,0.7879805,-6.806006,1.3269973,1.2131692,-6.246312,1.0063115,-0.15939349
5029,Muy bajo,57.4433073588306,0.8994822479232,-2.8607886,2.9941592,-3.2427409,-2.6165235,3.4476714,-1.725762,-2.84316,1.6793633,-2.6408558
5030,Muy bajo,60.7375040578758,0.951064783612676,-11.47732,1.0553734,-1.3981715,-9.245403,0.47415745,-1.1823221,-8.816641,-0.22188976,0.5574526
5031,Muy bajo,59.9613705887526,0.938911613650952,-8.332842,2.4080448,0.8954603,-6.9780846,1.5160946,1.3651286,-6.368886,1.1758225,-0.3580822
5032,Muy bajo,59.7579886590898,0.935726935684252,-8.045792,2.2909694,0.86047,-6.719012,1.4599112,1.3092337,-6.16231,1.1696428,-0.11655211
5033,Muy bajo,57.059406535828,0.893470895319548,-4.794734,0.1431795,0.33741808,-3.9172363,0.14636992,0.2887068,-3.7192976,-0.079411566,-0.021813534
5034,Muy bajo,57.9045374458784,0.906704469180692,-4.0283046,3.8930705,-2.7758777,-3.758408,4.0127907,-1.1254113,-3.9016335,2.4403315,-2.4793723
5035,Muy bajo,60.2884207175746,0.944032763504298,-11.105101,1.0016247,-1.2522233,-9.009631,0.41764218,-0.9484528,-8.55861,-0.1193048,0.6144333
5036,Bajo,54.8588292288359,0.85901291729162,0.11823503,1.3104345,-1.6621393,0.5156753,2.2085629,-2.3756363,0.005767211,0.47278023,-2.39297
5037,Muy bajo,58.337700821595,0.913487204799895,-6.3246937,0.636123,1.5873455,-5.0884156,0.24492215,1.6293417,-4.861466,-0.040325794,0.40162352
5038,Muy bajo,57.7682332789898,0.904570135625203,-5.6288085,-0.012300329,2.5472298,-4.1582766,-0.14961438,2.336801,-4.3770585,-1.1888298,0.14587127
6001,Bajo,56.4059237449604,0.883238264283229,-3.2644186,1.8548868,1.3725988,-2.6327686,1.297731,1.4886138,-2.7743218,1.2596339,0.7547974
6002,Muy bajo,59.7711755354347,0.935933423815301,-8.92634,2.1837933,0.22055858,-7.4311094,1.3675284,0.7447255,-6.828297,1.05789,0.03975017
6003,Muy bajo,57.1625072020632,0.895085308264963,-4.4902554,1.1091895,-0.28106195,-3.6946964,1.1381078,0.058498204,-3.5403333,0.6690366,-0.49558103
6004,Muy bajo,57.1251916292823,0.89450099832825,-4.880227,1.2251899,1.4111278,-4.0141068,0.7717906,1.3455958,-3.902277,0.72637355,0.7055716
6005,Muy bajo,58.1700784403634,0.910862471594152,-5.8785186,2.267134,0.49935398,-4.969064,1.736792,0.9177881,-4.732272,1.3522232,-0.06310673
6006,Bajo,55.0289760226252,0.861677179284729,0.42887777,1.9243822,-2.3622055,0.45258942,2.4500854,-1.370056,-0.028139336,1.2911898,-1.9704419
6007,Muy bajo,59.7547410038696,0.935676081923348,-9.134047,2.526316,-0.20829198,-7.677151,1.6827538,0.45596343,-7.133966,1.3297665,0.17285715
6008,Muy bajo,57.3805329920052,0.898499288703402,-6.075524,2.8433814,0.268039,-5.149059,2.207288,0.83185613,-4.8624625,1.7161416,-0.13490428
6009,Muy bajo,57.1954216340676,0.895600702462298,-4.7734065,1.4320596,2.6063,-4.3550367,1.0315385,2.3773735,-4.2683554,0.9139216,1.5351896
