CVE_MUN,GM,IM,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 100 Component 3,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 200 Component 3,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 300 Component 3,Perplexity 400 Component 1,Perplexity 400 Component 2,Perplexity 400 Component 3
05021,Muy bajo,-1.106,-5.892193,-4.051801,1.9559149,-3.345526,4.3616805,-2.509801,-3.2758448,4.024778,-0.6306762,-3.6370144,-0.67342955,-2.9083438
05037,Muy bajo,-1.186,-7.779663,4.3356333,-2.2191682,-7.027373,-0.65123004,0.88529974,-5.7327976,-0.5684312,0.428088,-5.0299582,0.0065761777,1.4501909
05026,Bajo,-0.819,-4.7709455,-4.396138,2.8537025,-2.2630477,4.394104,-2.8867126,-2.5977273,3.7265234,-1.2352196,-2.8942533,-0.29162687,-2.903058
05008,Bajo,-0.773,-4.6149774,-4.9372206,1.6224302,-2.3973672,4.824668,-1.9534984,-2.8956137,3.4559183,-0.3626494,-3.1871881,-0.6939926,-2.4455347
05029,Muy bajo,-1.077,-5.7295804,-3.911175,2.1044514,-3.2077153,4.2196646,-2.5869102,-3.091571,4.0732965,-0.70202124,-3.4782112,-0.68354005,-2.9718192
05016,Bajo,-1.012,-5.2240777,-3.4859164,1.6711482,-2.948134,3.8622482,-2.1841784,-2.6527505,4.0213337,-0.40553698,-3.1385338,-1.0493623,-2.886139
05005,Bajo,-0.647,-3.4368572,-3.185358,3.0208864,-1.4618042,3.3468366,-2.6983404,-1.40146,3.7340155,-1.138862,-1.9376817,-0.61719614,-2.986913
05012,Bajo,-0.673,-3.7219915,-3.0656064,3.5908794,-1.6190987,3.261831,-3.1774237,-1.4534197,4.090726,-1.3482776,-2.0279672,-0.5196346,-3.331577
05015,Bajo,-0.958,-5.3447413,-3.9943945,2.5223773,-2.8196564,4.2237215,-2.7670555,-2.815118,4.0370235,-0.9194653,-3.2019427,-0.56237054,-3.0276115
05013,Bajo,-0.796,-5.2850366,-5.0787053,3.3680565,-2.4005356,4.967912,-3.4243493,-3.0910137,3.7789848,-1.7464107,-3.2264485,0.2511786,-3.080689
05001,Muy bajo,-1.184,-5.5562806,-2.3071766,2.5445163,-3.3007586,3.158337,-2.8595638,-2.3964195,4.919529,-0.4566082,-3.1375675,-1.2961528,-3.5987275
06007,Muy bajo,-1.509,-11.821562,2.32315,-2.1659687,-9.322877,0.2094872,-1.2451422,-7.851315,0.018728467,-0.3623182,-6.603205,1.1878666,0.6558298
06002,Muy bajo,-1.595,-12.506026,3.805813,-0.6699161,-9.84474,0.970314,-0.07471376,-7.9509087,0.9262421,0.14159629,-6.9320908,0.22610475,0.55762196
06010,Muy bajo,-1.801,-13.554725,3.9035745,-1.1517843,-10.584004,0.74961483,-0.21636347,-8.529374,0.872025,0.38824448,-7.3997126,0.35381937,0.7696178
06009,Bajo,-0.716,-5.9155083,3.132526,-4.806359,-5.212776,-2.1743531,0.89861864,-4.348231,-1.8059422,-0.51934224,-3.3646576,0.7362013,1.7827086
06005,Muy bajo,-1.285,-8.998185,2.384629,-0.043165047,-7.29506,1.3126541,-0.28532118,-6.070289,0.9638165,-0.38213894,-5.4950643,0.22066656,-0.032896195
06001,Medio,-0.481,-2.803452,4.5531263,-2.6139066,-3.0721247,-1.4987346,1.6279188,-2.522568,-1.6986285,-0.38744143,-2.0676734,0.51989985,1.5725557
06003,Bajo,-0.873,-6.3473377,1.2072579,-1.420159,-5.010525,0.55618894,-0.8232901,-4.1085906,1.0191274,0.21971501,-3.727243,0.08191916,-0.13400286
06004,Bajo,-0.952,-7.448397,3.0877604,-0.5987213,-6.1066866,0.3286275,0.056399804,-5.079768,-0.20615469,-0.56822723,-4.3283734,0.6482916,0.4678017
06008,Bajo,-0.762,-4.7510915,-4.119475,2.6566505,-2.3380747,4.194547,-2.7394743,-2.506641,3.8083987,-1.0449271,-2.8636677,-0.45415786,-2.9076715
06006,Medio,-0.261,-0.076521076,-2.6318898,3.1401129,0.36540544,1.778456,-1.3229406,0.85910827,2.614681,-1.2100831,0.15751724,-0.60403097,-2.5664487
07101,Muy bajo,-1.29,-10.375471,4.6480923,-3.33593,-8.672406,-1.1069164,-0.0857111,-7.1348534,-0.6612722,0.62123907,-5.986176,0.8155407,1.6662719
07089,Bajo,-0.577,-4.0973473,4.779805,-2.5305665,-4.0733953,-1.7700764,0.72129613,-3.2120283,-1.3645592,0.6491556,-2.740549,0.48359713,1.6318283
07059,Muy alto,1.417,9.264455,-2.2351513,-1.2181044,7.5454903,-2.9751985,0.9305396,5.42487,-2.9322925,1.1509556,5.0148773,1.4448513,0.99484247
07078,Bajo,-0.729,-5.0415964,4.810204,-2.345913,-5.001885,-1.0913763,1.6715366,-3.9383786,-1.4717002,-0.13376006,-3.4100745,0.02978187,1.7617923
07019,Medio,-0.235,-1.5065175,5.33126,-1.5840832,-1.9871236,-2.1606183,0.7979876,-1.5044705,-1.7573246,0.7540044,-1.144116,0.78722024,1.6687444
07031,Muy alto,2.238,11.027939,-2.7988656,0.6631188,7.3310375,-3.0370991,2.309492,6.7562895,-2.4603026,0.9845637,6.0400386,0.76969665,0.68879366
07052,Muy alto,1.393,8.888083,0.6270274,-0.55202156,5.4331913,-3.7139091,0.07228612,4.7526884,-2.0611699,2.3811164,4.48414,0.46425724,2.057661
07065,Alto,0.475,1.4385848,3.519287,-3.3565357,0.43739885,-1.9932463,2.6092892,0.82944405,-2.1093628,-0.94433576,1.2446738,0.5078483,0.9613581
07108,Alto,0.205,0.7787705,4.204256,-3.1867187,-0.03916147,-1.9183742,2.095217,0.30281746,-1.9318752,-0.41446832,0.6658324,0.5230332,1.1133378
07027,Medio,-0.198,-1.7041541,4.3910236,-2.7121153,-2.1843586,-2.0970213,1.3722451,-1.511164,-1.8579751,0.25301212,-1.1072688,0.3000766,1.5032083
07061,Alto,0.379,1.2571332,5.0323706,-2.792456,0.23525685,-2.7134898,1.7232002,0.6526749,-2.394273,0.33425692,1.0831306,0.9264096,1.4604007
07097,Medio,-0.028,-0.8785292,5.2839203,-1.6262767,-1.1931821,-2.28356,0.71166444,-0.664811,-1.6500065,0.8849051,-0.13614054,0.23188613,1.6410186
07023,Muy alto,1.993,10.553076,-0.56818086,1.4316585,6.419143,-3.2237046,1.6017712,6.458285,-1.1068244,1.4163371,5.798098,-0.316436,0.8300479
07017,Medio,0.004,-0.33010402,3.9634204,-2.03537,-1.1405349,-1.6262505,1.668112,-0.6321428,-1.6865352,-0.10142413,-0.3409321,0.21021226,1.2806786
07107,Alto,0.772,2.7668154,4.5517445,-2.8639514,1.2995683,-2.5820966,1.9000231,1.2953327,-2.4516368,0.21484792,1.8605549,0.77236205,1.3983201
07096,Muy alto,1.589,9.451428,-2.6699653,0.6327583,6.1337037,-2.4470086,2.1724942,5.96853,-1.9825118,0.2819029,5.302543,0.5750172,0.3810339
07099,Alto,0.681,5.925783,1.7580341,0.36128092,3.2797477,-2.8578022,-0.49046713,3.0585248,-1.0770054,2.0416508,2.9342484,-0.26180056,1.7374511
07034,Alto,0.336,1.7716962,4.288473,-1.3290772,1.1479855,-1.3743324,1.1522244,1.494231,-1.0791845,-0.010736981,1.6117295,0.23132817,0.40805936
07057,Alto,0.258,1.3542479,4.1509504,-3.7808752,0.63278013,-1.692382,2.7272115,1.1081917,-1.934507,-1.0156478,1.3967346,1.0129623,0.49302655
07106,Alto,0.851,6.752035,-0.88852173,3.371809,5.7009873,0.6401238,1.1665477,4.7625594,-0.40454465,-1.3517748,3.8877296,-0.7669814,-0.40988237
07077,Muy alto,1.484,8.54169,-2.4214215,1.2360926,6.1494546,-1.3268914,1.491265,5.8606176,-1.480934,-0.9091974,4.948618,-0.027428837,0.0807088
07040,Alto,0.141,-0.38206965,5.5359626,-2.7791195,-0.88773715,-2.779305,1.3352879,-0.37758434,-2.2958338,0.6764566,0.069478855,0.6736451,1.9197644
07069,Alto,0.51,5.041393,2.9395394,-0.24984522,2.3788397,-3.2310522,-0.7216674,2.270944,-1.2722365,2.3983917,2.3097296,-0.21863885,2.1754413
07012,Alto,0.152,-0.47901845,5.559917,-3.0561028,-0.9471159,-3.0216846,1.1661961,-0.43493938,-2.367009,0.9120352,0.080524,0.5165312,2.1421194
07064,Muy alto,2.078,9.933528,2.209945,-1.239999,5.530188,-5.3242083,-0.23370686,5.1643167,-2.1807148,3.7235203,5.0357924,0.31485683,3.140869
07051,Alto,0.249,1.2139041,3.996564,-1.2974126,0.14703006,-1.9379178,0.9416116,0.5028968,-1.4857532,0.55387247,0.7858665,0.27053806,1.2101299
07020,Alto,1.063,6.5882106,-2.152827,1.672123,5.166025,-0.7591586,0.94476515,4.5539017,-0.9736988,-0.46756035,3.8809168,-0.22275066,0.028235717
07015,Alto,0.092,0.81779855,3.9311893,-3.6892972,0.121461555,-1.3977702,2.4127464,0.44842649,-1.6308771,-0.82087284,0.7321151,0.69646215,0.53158873
07074,Bajo,-0.901,-7.149275,1.424655,-3.831104,-5.969659,-0.71152467,-1.5399022,-5.631816,-1.3631225,-0.9849659,-4.5188656,1.6005454,0.34714565
07041,Alto,0.515,1.9076322,4.1862793,-3.6135476,4.0420766,-0.10070725,1.2321615,3.139147,-0.8799118,-1.1680148,2.4849772,0.22635381,0.0011950844
07081,Muy alto,1.564,9.569282,-3.1162043,0.956839,6.2818646,-2.3261242,2.7135751,6.449058,-2.0801353,-0.47306314,5.63956,0.71733665,0.0065181563
07093,Muy alto,1.266,8.114395,-2.3660517,1.2218641,5.8425856,-1.0955073,1.4622105,5.542378,-1.4090836,-1.074785,4.6362524,0.07163314,0.030953743
07094,Alto,1.097,7.298033,-0.9135277,3.394097,6.3619204,0.15535992,1.4644295,5.7486496,-0.61148983,-1.1682768,4.752126,-0.682398,-0.38152584
07102,Alto,0.298,4.3398404,3.3631718,-0.6849796,2.0353315,-3.2857287,0.18355067,2.0421169,-1.8029766,1.9022171,2.1333928,0.30410573,2.1314232
07092,Alto,0.788,5.8302717,-2.5423353,1.3454052,4.26657,-0.5806201,1.2327068,3.723934,-0.9519254,-0.69484675,3.1978652,0.2175133,-0.091239244
07111,Muy alto,1.692,9.626376,0.25086567,2.2126539,6.2168865,-2.3890703,0.3474583,6.088198,-0.40951648,1.6454573,5.351042,-1.0382959,0.9056322
07009,Medio,-0.27,-1.5620813,5.36362,-1.5869848,-1.999925,-2.1584463,0.63922054,-1.5200958,-1.5852361,0.8567005,-1.1256958,0.3725675,1.7090532
07026,Muy alto,1.958,10.127168,-3.6915457,0.66477853,6.268459,-3.0124445,2.9377513,6.468908,-2.5292826,0.34176093,5.851011,1.038684,0.29654428
07079,Alto,0.22,1.0942316,3.5654387,-3.403145,0.3995449,-1.6768297,2.6319895,0.9168444,-1.6887779,-0.9712157,1.1572826,0.5470099,0.6378294
07046,Alto,0.28,1.6315222,4.240385,-1.3303347,1.0494483,-1.1954778,1.1753594,1.4129753,-0.9857597,-0.08348419,1.4447759,0.27614078,0.2213644
07087,Alto,0.581,1.922974,4.660622,-2.85799,0.8929213,-2.4985502,1.75665,1.2012284,-2.1641145,0.2805055,1.6870599,0.6682396,1.2758913
07109,Muy alto,1.347,9.60196,-2.2472756,-0.51697296,7.025297,-2.7182415,1.6614213,5.7764683,-2.3565106,0.7229812,5.2479296,0.979605,0.57066
07080,Alto,0.992,6.831727,-2.9927049,1.5399511,4.8753057,-0.6671061,1.6681554,4.5192504,-1.1900414,-1.1573404,3.815314,0.36982712,-0.28313124
07037,Alto,0.513,5.8549147,3.8798652,-0.5867228,2.4228446,-4.287432,-1.1514535,2.3538895,-1.5922872,3.407813,2.5258245,-0.18070428,3.1154363
07013,Alto,0.658,2.1042376,5.184108,-4.2428555,1.5689418,-2.227504,3.0264738,1.5016185,-2.6090574,-0.77184,2.1206603,1.4679316,0.72922885
07112,Muy alto,2.6,11.182139,-2.0657072,0.22348931,6.4861927,-3.9013715,2.5752826,6.841616,-2.2991405,1.4858803,6.2780843,0.74830943,1.0852035
07030,Alto,0.789,5.963266,-1.5244514,2.1078844,4.5178013,-0.6294937,0.79647094,3.9617805,-0.6676295,-0.3851391,3.3025625,-0.2515575,0.041519098
07100,Muy alto,1.557,9.129058,0.6428427,0.70208293,5.807169,-3.2380357,0.1350747,5.363574,-1.1753854,2.1298878,4.9744625,-0.324054,1.6270573
07004,Muy alto,1.412,9.02986,-0.469601,0.6040861,5.9246287,-2.6326585,0.8053502,5.3556504,-1.433863,1.308498,4.8530936,0.10303253,1.0417854
07072,Alto,0.849,8.214161,-4.6127844,-0.18273091,5.0967293,-1.6536242,4.1442924,5.5767646,-2.3879042,-1.3553615,4.783834,1.3667291,-0.4692712
07032,Alto,0.314,1.3064258,4.0200305,-3.4452472,0.6793103,-1.5307113,2.1391737,1.0594057,-1.4850707,-0.68141645,1.3093055,0.4485784,0.47755593
07103,Alto,0.616,5.2281733,-0.85572606,0.5628444,3.0238523,-1.6986458,1.0152231,2.4998448,-1.054119,0.070961304,2.4407494,0.02075952,0.42856845
07002,Alto,0.276,0.9375645,4.2105875,-3.5881395,0.10351775,-1.9479859,2.6035492,0.47096032,-2.190088,-0.7689378,0.88149804,0.8264718,1.0111654
07068,Alto,0.123,0.19225308,4.1815996,-1.7590321,-0.6544505,-1.9196548,1.283409,-0.21444876,-1.7029709,0.3319093,0.11939825,0.5062482,1.2429655
07006,Alto,0.508,4.472258,-2.342016,2.1377535,3.8240483,0.63031995,0.75870377,3.2964158,-0.08839965,-1.0933692,2.7059937,-0.2517571,-0.82918906
07054,Alto,0.822,6.3903494,3.1373575,-0.65698844,3.2806463,-4.093869,-0.957173,3.109502,-1.3732927,3.2780201,3.131585,-0.4158258,2.8547077
07071,Alto,0.73,5.4204283,2.334783,-0.7002799,3.0847363,-3.1308246,-0.3644321,2.8961854,-1.2260566,2.1696024,2.7607813,-0.34038565,1.8323812
07003,Alto,0.739,5.4402423,2.2932086,-0.50890505,3.238983,-3.0337825,-0.68061024,3.0198753,-0.9596762,2.3539248,2.8756676,-0.5663113,1.9490591
07075,Muy alto,1.394,10.965989,-0.8553038,0.076746725,5.5803914,-4.0373507,2.0356734,6.4477444,-1.4783816,1.876536,5.7801895,-0.14960162,1.3502777
07008,Alto,0.72,6.6789365,-0.8644319,3.3808267,5.4330893,0.53506005,1.3777856,4.2553353,-1.0239131,-1.4902848,3.5017571,0.10649241,-0.033628777
07044,Alto,0.483,1.8636258,4.1104317,-4.183686,1.2845935,-1.5389582,2.6337407,1.6352763,-1.6327308,-1.220037,1.8969725,0.72661155,0.34831387
07076,Muy alto,1.872,9.54197,-2.8283536,0.2503994,6.124997,-2.835668,2.3398156,5.969563,-2.401933,0.55098283,5.4110894,0.95518535,0.57365173
07086,Medio,0.026,-0.7450709,4.9743204,-4.1404505,-1.5258737,-2.9168918,2.4889176,-0.97466654,-2.9922047,-0.33818236,-0.5872832,0.32617062,2.4925663
07049,Alto,1.206,7.773495,-2.0058477,1.2029634,6.0556827,-0.48352313,0.81406265,5.5310726,-1.2457705,-1.7514879,4.513409,-0.47089455,0.07706716
07038,Alto,1.024,8.371612,-0.7717737,-0.3644295,4.662471,-2.871407,1.8867433,4.636088,-2.2587497,0.7492394,4.3120203,1.0215801,0.6576623
07039,Muy alto,1.249,8.8048525,-4.5778537,1.2272972,5.3300433,-2.2607257,3.015517,5.5308723,-2.4392831,-0.102592155,5.012621,1.1942846,-0.24972138
07014,Muy alto,1.261,8.985852,-3.0856397,1.5128763,6.076887,-1.5191567,2.4948418,6.0663333,-1.6695678,-0.8507777,5.1859202,0.44290027,-0.38784388
