CVE_MUN,GM,IM,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2
07106,Alto,0.851,16.822237,-7.0925164,8.557344,-3.4857469,7.024497,-0.3211192,5.821518,-2.7442842
07077,Muy alto,1.484,20.94947,-8.365784,11.318379,-5.1612363,9.16092,-0.3845467,7.5507617,-3.1481805
07040,Alto,0.141,-2.9141939,15.0193405,-1.9906269,-5.183306,-1.4544752,4.7086406,-0.8810996,3.408093
07069,Alto,0.51,19.651766,6.0491357,5.092653,-8.007476,7.734239,-6.368448,5.879499,0.6581728
07012,Alto,0.152,-3.163686,15.18892,-1.7846843,-5.572654,-1.2277608,4.841992,-0.7287677,3.5643034
07064,Muy alto,2.078,27.069096,2.3532379,10.060354,-11.35698,11.903237,-6.1784296,9.582767,0.42967737
07051,Alto,0.249,-0.90048784,9.654132,-0.25541577,-4.358245,3.5674589,-0.04599555,3.3878458,-0.2620031
07020,Alto,1.063,16.50491,-8.117104,9.068407,-3.7140462,7.4161406,-0.5556796,6.1419535,-2.6025627
07015,Alto,0.092,-0.23541881,12.044044,0.40806687,-3.2436314,3.7982724,-0.035186835,2.8467286,-1.09653
07074,Bajo,-0.901,-18.176083,12.628169,-12.19543,4.0849743,-8.588159,3.7210882,-7.4948087,1.4477563
07041,Alto,0.515,1.3349117,12.215904,7.304672,-2.9411817,5.593857,-0.7224385,4.5538077,-2.2140634
07081,Muy alto,1.564,24.076033,-7.903756,13.281144,-5.7094254,11.194892,-1.3149471,8.556086,-3.705773
07093,Muy alto,1.266,19.97089,-8.3656645,10.61759,-4.835003,8.539203,-0.6267699,7.1488495,-3.1017785
07094,Alto,1.097,18.000854,-7.010563,10.79246,-4.3216486,8.555669,-0.5278633,6.89939,-3.4024205
07102,Alto,0.298,17.490288,9.810306,3.4393518,-6.597769,6.589168,-6.0355697,5.542164,0.42329413
07092,Alto,0.788,14.896405,-8.937734,7.9540806,-2.7584865,6.3797827,-0.9695051,5.2062054,-2.5180466
07111,Muy alto,1.692,25.279354,-3.6714334,11.314909,-6.939756,10.615264,-3.3342834,8.180931,-2.122695
07009,Medio,-0.27,-6.159271,10.549567,-4.664749,-3.2996762,-2.822976,4.0242023,-2.1048858,3.1217484
07026,Muy alto,1.958,26.585398,-7.4373245,14.576515,-5.8376503,11.99292,-1.962207,9.280879,-3.6270607
07079,Alto,0.22,-0.20050701,11.621441,0.74895805,-3.4320786,4.186436,0.15096627,3.34773,-1.0055064
07046,Alto,0.28,-0.10658495,9.648581,2.4905338,-3.6396203,3.807818,-1.3936565,3.308416,-1.5354764
07087,Alto,0.581,0.82318395,13.754586,1.2315588,-4.9718204,5.380687,0.15604936,4.7693295,-0.96417075
07109,Muy alto,1.347,21.972836,-4.3914905,13.615716,-6.9823976,11.365422,-0.9143724,8.809554,-2.9691968
07080,Alto,0.992,17.6954,-9.993026,9.408296,-3.2496157,7.4087725,-1.0083857,5.885351,-3.2292032
07037,Alto,0.513,22.589619,9.233252,4.67542,-9.847023,8.605838,-7.5558553,6.6626997,1.506287
07013,Alto,0.658,2.0766559,14.074721,1.6944458,-4.305552,5.9225106,0.08987715,5.3348637,-2.160905
07112,Muy alto,2.6,27.789728,-5.7854395,13.256119,-8.499877,12.566265,-2.73442,9.999327,-3.1706405
07030,Alto,0.789,15.352867,-8.539327,8.059078,-3.1515663,6.533627,-1.0871077,5.403346,-2.3318584
07100,Muy alto,1.557,24.527433,-1.409297,10.447115,-8.3208,10.774964,-4.134002,8.510187,-1.1777786
07004,Muy alto,1.412,23.026562,-3.7805326,10.998931,-7.1746297,10.486212,-3.3078623,8.161293,-2.0046227
07072,Alto,0.849,22.567867,-7.1602955,12.25947,-5.4539437,9.03636,0.42416573,6.826163,-4.8136535
07032,Alto,0.314,0.3491879,11.825834,1.1825588,-3.4344206,4.311258,-0.27754557,3.5215943,-1.3021406
07103,Alto,0.616,13.014784,-6.662156,5.7065897,-3.8658805,5.4482846,-0.9842773,4.7309656,-1.4449201
07002,Alto,0.276,-0.24027061,12.5813675,-0.0026384222,-4.0617404,4.3899317,0.52597004,3.3812973,-0.8483739
07068,Alto,0.123,-2.5765827,10.533983,-1.9647232,-3.8694751,-1.2742103,3.6912317,-0.6702748,2.5569081
07006,Alto,0.508,12.978612,-10.82794,7.466215,-1.0893376,5.117827,-1.8780193,4.097168,-2.7362509
07054,Alto,0.822,22.760183,6.069699,6.1902795,-9.372268,8.942318,-6.8817544,6.924461,1.183206
07071,Alto,0.73,19.083036,4.984768,6.1462884,-7.705902,8.188434,-5.7944794,6.123281,0.334047
07003,Alto,0.739,19.250486,5.1674986,6.0765038,-7.7819457,8.121458,-5.9422483,6.177311,0.44847393
07075,Muy alto,1.394,28.002144,-3.468942,12.13994,-8.121376,11.78033,-3.298775,8.900244,-1.8426411
07008,Alto,0.72,16.897255,-7.103323,8.38487,-3.5365686,6.6364694,-0.27605805,5.6252804,-2.6999042
07044,Alto,0.483,1.6339396,12.593486,1.9228958,-3.3953364,5.1795063,-0.23233578,4.301478,-1.7226292
07076,Muy alto,1.872,24.212727,-6.669688,13.548033,-6.494555,11.688081,-1.7633544,8.954203,-3.0577803
07086,Medio,0.026,-3.5192387,14.247847,-3.4993303,-5.462975,-1.5396918,5.5926514,-1.1736854,4.1951513
07049,Alto,1.206,19.385963,-8.340319,10.068742,-4.678719,8.2547455,-0.14214103,6.8989615,-2.9581788
07038,Alto,1.024,22.93293,-2.665473,10.411315,-6.925677,9.307325,-3.7670965,7.773804,-1.991852
07039,Muy alto,1.249,24.730488,-7.2368846,14.331219,-4.3464026,10.509189,-2.5115511,8.3047285,-3.5924842
07014,Muy alto,1.261,22.63364,-8.733092,12.364014,-5.0698595,9.850991,-0.9112828,7.70161,-3.861305
07066,Muy alto,2.479,25.946764,-7.4024634,14.26671,-6.3375764,12.01047,-1.3589,9.497431,-3.4288378
07021,Alto,0.403,0.7217142,12.396354,1.418922,-3.4772856,4.8484454,-0.25707796,3.9897952,-1.6752344
07048,Medio,0.012,-4.8773217,9.537928,1.4434036,-6.378307,-1.5558026,2.7855735,-0.30911455,1.9273801
07047,Alto,0.776,17.933823,-9.001642,9.388636,-3.6745546,7.2986307,-0.55240387,5.8761635,-3.0891905
07114,Alto,0.926,21.367289,4.0514197,6.8945975,-8.383759,9.078742,-5.6699657,7.0635023,0.13863732
07011,Alto,0.644,12.999875,-7.4986544,5.758279,-5.046638,6.9998865,-4.76497,5.367207,-0.9164825
07005,Muy alto,1.398,22.65152,-4.255035,11.238501,-6.2849083,10.021657,-2.6383727,7.8468504,-2.6087317
07083,Alto,0.862,15.589604,-10.224341,8.874233,-2.1176143,6.865662,-1.8575006,5.2624044,-3.1713743
07062,Alto,0.72,12.801102,-9.284094,7.003715,-2.249551,5.979868,-2.005235,5.0498514,-2.2132466
07001,Alto,0.237,-0.30998328,12.47499,0.10650689,-3.9964101,4.2446265,0.3965049,3.3428628,-0.76525176
07016,Alto,0.578,11.869202,-11.312352,7.0937915,-0.5442945,4.89786,-2.4718735,3.8050385,-2.5488586
07022,Muy alto,2.853,26.606297,-0.13626595,12.006763,-10.254224,12.587561,-4.4014525,9.988686,-0.89530647
07105,Alto,0.416,9.118578,-10.340909,4.9981966,-0.64020205,4.0896354,-1.7593354,3.3376694,-2.4078903
07104,Alto,0.535,0.42537823,9.251203,6.8330994,-3.426975,5.454269,-2.5056524,4.341839,-1.8775238
07035,Alto,0.579,19.149424,5.5430164,5.540692,-6.8362336,7.426318,-5.7804656,5.6981893,0.17345314
07070,Alto,0.484,12.992656,-6.4448595,5.209894,-4.316603,6.310579,-4.8626842,4.853445,-0.92258996
07082,Muy alto,3.947,11.997734,5.6879883,14.797695,6.2437654,7.953429,4.9901085,5.9575877,4.5649543
07115,Muy alto,1.689,24.355024,-2.270607,10.880433,-7.677266,10.820645,-3.7636194,8.389733,-1.6720909
07091,Medio,-0.018,-2.3029459,12.784239,-2.7149863,-4.642924,-1.301441,4.822814,-1.041902,3.5543776
07060,Muy alto,1.846,23.962332,-9.4500265,13.02929,-5.0411572,10.4592905,-0.9779536,8.225738,-4.036323
07024,Muy alto,1.475,28.344067,-2.8859394,12.281002,-8.775928,12.189592,-3.7180178,9.366032,-1.2646943
07067,Muy alto,1.302,22.366367,-9.000352,12.1525135,-4.8534336,9.568136,-0.84339505,7.554503,-3.7989984
07056,Muy alto,2.121,27.760311,-1.7347926,12.176057,-9.162195,12.03945,-3.8769343,9.49501,-1.3734311
07116,Alto,1.182,23.992935,3.711579,7.901421,-8.970606,9.75172,-5.7709785,7.6982512,0.23297013
07042,Alto,0.49,9.706356,-14.130918,7.443166,-0.39564356,4.791166,-2.3727746,3.927435,-3.144617
07043,Alto,0.596,12.047014,-8.984066,6.388792,-2.3298883,5.5767117,-1.5152345,4.9819846,-1.7427773
07085,Alto,0.292,8.34407,-11.652744,5.588664,0.520115,3.794486,-1.9052024,3.0723448,-2.4271524
07007,Muy alto,2.191,26.451376,-3.5814183,12.142174,-7.7876983,11.569217,-3.1727564,8.944662,-2.0097563
07073,Alto,0.509,0.12242955,15.731849,-0.20365682,-5.5586977,5.3913965,1.116525,5.643059,-6.3044677
07018,Alto,0.746,15.676681,-9.5011425,8.338243,-2.2993882,6.305346,-1.0117891,4.947043,-2.8443975
07084,Alto,0.863,16.739466,-10.108789,9.173173,-2.7179418,7.1032224,-1.3029302,5.5462403,-3.212275
07053,Alto,0.348,10.844076,-6.9791975,3.1674907,-2.1102939,4.5382957,-0.82115936,3.6730735,-1.9417481
07117,Alto,1.01,18.013025,-9.89407,9.741254,-3.3474548,7.6347795,-0.9585266,6.0839972,-3.3524613
07025,Alto,0.343,12.400161,-15.1765585,5.683144,0.078230314,3.737174,-4.462339,2.5772407,-3.6442769
07010,Alto,1.08,22.576212,4.1038356,7.2093754,-9.29551,9.390067,-6.174005,7.4994254,0.2998504
07033,Alto,1.11,18.736752,-9.565588,10.080599,-3.7734337,8.010082,-0.7080319,6.4412165,-3.3069978
07098,Muy alto,1.435,20.449911,-9.23791,10.82743,-4.6989417,8.829745,-0.012633946,7.246671,-3.4213555
07110,Muy alto,1.31,19.360338,-8.120251,10.149407,-4.8540874,8.460246,-0.049569618,7.031848,-2.83142
07036,Alto,0.482,12.430749,-7.074387,5.057735,-4.2759824,5.346679,-1.1578532,4.9117293,-0.98763794
07113,Alto,1.173,19.32601,-8.411083,10.134556,-4.61996,8.276628,-0.2610465,6.8911476,-2.998065
07028,Alto,1.005,20.188677,-10.083597,10.616851,-3.9192452,8.281638,-0.46546853,6.5702696,-3.441211
07055,Medio,0.002,2.8021965,-10.226034,2.4147987,2.0307698,1.0239463,-2.7161756,0.68298084,-2.4225047
07045,Alto,0.845,16.395006,-11.110173,8.862011,-2.7642756,6.9477935,-1.6571418,5.4485025,-3.212407
07118,Muy alto,1.336,21.143187,-10.282079,11.4591,-4.132514,9.022372,-0.34304845,7.1387806,-3.9702759
07029,Medio,-0.022,8.791405,-5.9730535,1.789782,-1.3138237,2.2407088,-0.82106763,0.5306813,-4.3675923
07050,Alto,0.323,18.270906,6.6784406,4.826834,-5.689825,5.484569,-5.0035553,4.224999,-0.39582092
07058,Muy alto,1.259,19.902235,-9.323555,10.319192,-4.5099554,8.444401,0.041385874,6.8088346,-3.273204
07090,Alto,0.444,9.140062,-6.622987,10.281255,0.14470042,5.762888,-0.97704357,4.50588,-4.227315
07119,Muy alto,1.566,23.95086,-10.283837,12.960387,-4.8653383,10.422952,-1.7195073,8.125535,-4.1091347
07063,Medio,0.019,1.1182761,-6.486832,1.5091256,0.9707406,1.1960874,-1.4181757,0.9200866,-1.515203
07088,Alto,0.636,13.215807,-8.318309,6.3666263,-3.1301444,5.6116085,-1.9034389,4.710221,-2.0808434
08037,Muy bajo,-1.522,-28.86409,11.886894,-17.498293,-0.65270746,-11.499638,4.9159,-8.95441,4.1118026
08019,Muy bajo,-1.909,-33.69805,8.610057,-19.87652,1.5447282,-13.744231,4.010322,-10.716323,3.302758
08017,Muy bajo,-1.472,-26.827536,5.414336,-16.200104,3.0463655,-12.067455,2.460422,-9.513085,2.1215096
08021,Muy bajo,-1.587,-30.452002,9.534083,-17.858595,1.1316832,-12.258834,3.65126,-9.551146,3.0104537
08032,Muy bajo,-1.587,-30.533451,10.38462,-18.205181,0.41398412,-12.319108,4.0751677,-9.589746,3.4274042
08050,Muy bajo,-1.57,-30.448795,11.799379,-18.356783,-0.29493847,-12.067278,3.7141724,-9.407382,3.112657
08029,Muy alto,2.217,17.070286,0.45990875,16.366444,3.0668018,10.567572,3.540651,8.543215,3.561464
08011,Muy bajo,-1.402,-24.982603,7.8354754,-15.725599,0.91410184,-11.089369,3.4967818,-8.641992,2.92646
08027,Muy alto,2.36,17.352118,0.73028696,16.62592,3.1363711,10.640824,3.7090895,8.586593,3.6491408
