CVE_MUN,GM,IM,SOM labels
06001,Medio,-0.481,1
06003,Bajo,-0.873,1
06004,Bajo,-0.952,1
06008,Bajo,-0.762,0
06006,Medio,-0.261,0
07101,Muy bajo,-1.29,1
07089,Bajo,-0.577,1
07059,Muy alto,1.417,2
07078,Bajo,-0.729,1
07019,Medio,-0.235,1
07031,Muy alto,2.238,3
07052,Muy alto,1.393,3
07065,Alto,0.475,2
07108,Alto,0.205,2
07027,Medio,-0.198,1
07061,Alto,0.379,1
07097,Medio,-0.028,1
07023,Muy alto,1.993,3
07017,Medio,0.004,1
07107,Alto,0.772,2
07096,Muy alto,1.589,3
07099,Alto,0.681,2
07034,Alto,0.336,2
07057,Alto,0.258,2
07106,Alto,0.851,2
07077,Muy alto,1.484,3
07040,Alto,0.141,1
07069,Alto,0.51,2
07012,Alto,0.152,1
07064,Muy alto,2.078,3
07051,Alto,0.249,2
07020,Alto,1.063,2
07015,Alto,0.092,2
07074,Bajo,-0.901,1
07041,Alto,0.515,2
07081,Muy alto,1.564,3
07093,Muy alto,1.266,3
07094,Alto,1.097,2
07102,Alto,0.298,2
07092,Alto,0.788,2
07111,Muy alto,1.692,3
07009,Medio,-0.27,1
07026,Muy alto,1.958,3
07079,Alto,0.22,2
07046,Alto,0.28,2
07087,Alto,0.581,2
07109,Muy alto,1.347,2
07080,Alto,0.992,3
07037,Alto,0.513,2
07013,Alto,0.658,2
07112,Muy alto,2.6,3
07030,Alto,0.789,2
07100,Muy alto,1.557,3
07004,Muy alto,1.412,2
07072,Alto,0.849,2
07032,Alto,0.314,2
07103,Alto,0.616,3
07002,Alto,0.276,1
07068,Alto,0.123,1
07006,Alto,0.508,3
07054,Alto,0.822,2
07071,Alto,0.73,2
07003,Alto,0.739,2
07075,Muy alto,1.394,2
07008,Alto,0.72,2
07044,Alto,0.483,2
07076,Muy alto,1.872,3
07086,Medio,0.026,1
07049,Alto,1.206,3
07038,Alto,1.024,3
07039,Muy alto,1.249,3
07014,Muy alto,1.261,3
07066,Muy alto,2.479,3
07021,Alto,0.403,2
07048,Medio,0.012,0
07047,Alto,0.776,3
07114,Alto,0.926,2
07011,Alto,0.644,3
07005,Muy alto,1.398,3
07083,Alto,0.862,3
07062,Alto,0.72,3
07001,Alto,0.237,2
07016,Alto,0.578,2
07022,Muy alto,2.853,3
07105,Alto,0.416,2
07104,Alto,0.535,2
07035,Alto,0.579,2
07070,Alto,0.484,3
07082,Muy alto,3.947,3
07115,Muy alto,1.689,3
07091,Medio,-0.018,1
07060,Muy alto,1.846,3
07024,Muy alto,1.475,2
07067,Muy alto,1.302,3
07056,Muy alto,2.121,3
07116,Alto,1.182,3
07042,Alto,0.49,3
07043,Alto,0.596,2
07085,Alto,0.292,2
07007,Muy alto,2.191,3
07073,Alto,0.509,1
07018,Alto,0.746,3
07084,Alto,0.863,3
07053,Alto,0.348,2
07117,Alto,1.01,3
07025,Alto,0.343,2
07010,Alto,1.08,3
07033,Alto,1.11,3
07098,Muy alto,1.435,3
07110,Muy alto,1.31,3
07036,Alto,0.482,2
07113,Alto,1.173,3
07028,Alto,1.005,3
07055,Medio,0.002,0
07045,Alto,0.845,3
07118,Muy alto,1.336,3
07029,Medio,-0.022,0
07050,Alto,0.323,2
07058,Muy alto,1.259,3
07090,Alto,0.444,2
07119,Muy alto,1.566,3
07063,Medio,0.019,0
07088,Alto,0.636,3
08037,Muy bajo,-1.522,1
08019,Muy bajo,-1.909,1
08017,Muy bajo,-1.472,1
08021,Muy bajo,-1.587,1
08032,Muy bajo,-1.587,1
08050,Muy bajo,-1.57,1
08029,Muy alto,2.217,3
08011,Muy bajo,-1.402,1
08027,Muy alto,2.36,2
08045,Muy bajo,-1.24,1
08036,Muy bajo,-1.37,1
08031,Bajo,-0.513,1
08062,Muy bajo,-1.227,0
08040,Bajo,-0.833,1
08052,Muy bajo,-1.513,1
08009,Alto,0.838,1
08005,Bajo,-0.957,1
08002,Muy bajo,-1.495,1
08010,Bajo,-0.717,1
08048,Bajo,-0.938,0
08065,Muy alto,3.264,3
08055,Bajo,-0.962,0
08007,Muy alto,2.369,3
08004,Muy bajo,-1.467,1
08001,Muy bajo,-1.164,1
08013,Bajo,-0.969,1
08008,Muy alto,5.027,3
08035,Bajo,-0.89,0
08060,Muy bajo,-1.529,1
08012,Muy alto,3.957,3
08025,Muy bajo,-1.127,1
08003,Bajo,-0.954,0
08054,Bajo,-0.918,0
08046,Muy alto,2.053,3
08051,Medio,-0.205,0
08020,Alto,0.686,0
08030,Alto,0.924,0
08034,Bajo,-0.834,0
08063,Alto,0.625,0
08006,Bajo,-0.8,0
08066,Muy alto,1.521,3
08023,Bajo,-0.63,0
08053,Bajo,-0.637,0
08028,Bajo,-0.857,0
08067,Bajo,-0.75,0
08047,Alto,0.191,0
08059,Muy bajo,-1.088,0
08018,Bajo,-0.706,0
08038,Bajo,-0.785,0
08044,Bajo,-0.759,0
08024,Bajo,-0.822,0
08039,Bajo,-0.782,0
08016,Bajo,-1.007,0
08061,Bajo,-0.737,0
08043,Bajo,-0.649,0
08049,Alto,0.096,0
08022,Medio,-0.492,0
08058,Muy bajo,-1.157,0
08026,Bajo,-0.616,0
08057,Medio,-0.378,0
08014,Bajo,-0.821,0
08056,Medio,-0.236,0
08064,Medio,-0.132,0
08015,Bajo,-0.603,0
08041,Muy alto,1.639,3
08042,Bajo,-0.637,0
08033,Medio,-0.307,0
09007,Muy bajo,-1.627,1
09005,Muy bajo,-1.728,1
09010,Muy bajo,-1.779,1
09012,Muy bajo,-1.738,1
09003,Muy bajo,-1.994,1
09015,Muy bajo,-1.951,1
09017,Muy bajo,-1.811,1
09014,Muy bajo,-2.228,1
09013,Muy bajo,-1.527,1
09002,Muy bajo,-1.871,1
09006,Muy bajo,-1.885,1
09016,Muy bajo,-2.131,1
09011,Muy bajo,-1.537,1
09008,Muy bajo,-1.657,1
09004,Muy bajo,-1.822,1
09009,Bajo,-1.029,1
10005,Muy bajo,-1.585,1
10007,Muy bajo,-1.488,1
10012,Muy bajo,-1.215,1
10023,Alto,0.106,1
10032,Bajo,-0.676,1
10014,Muy alto,4.845,3
10004,Bajo,-0.728,0
10008,Bajo,-1.018,1
10001,Bajo,-0.822,0
10039,Bajo,-1.001,1
10034,Muy alto,1.624,3
10013,Bajo,-0.746,1
10022,Bajo,-0.846,1
10036,Bajo,-0.791,1
10038,Muy bajo,-1.117,1
10016,Bajo,-0.731,0
10026,Medio,-0.26,0
10024,Bajo,-0.521,0
10015,Medio,-0.404,0
10028,Bajo,-0.564,0
10020,Bajo,-0.761,0
10018,Muy bajo,-1.093,1
10035,Alto,0.144,0
10021,Bajo,-0.703,1
10006,Medio,-0.113,0
10009,Alto,0.233,0
10017,Bajo,-0.561,0
10037,Alto,0.321,0
10031,Medio,-0.43,0
10033,Medio,-0.218,0
10027,Alto,0.126,0
10019,Alto,0.956,2
10011,Medio,-0.444,0
10002,Alto,0.45,0
10003,Medio,-0.419,0
10010,Bajo,-0.689,0
10025,Medio,-0.103,0
10029,Medio,-0.482,0
10030,Bajo,-0.503,0
11020,Muy bajo,-1.494,1
11017,Muy bajo,-1.276,1
11007,Muy bajo,-1.386,1
11027,Muy bajo,-1.296,1
11037,Bajo,-0.785,1
11015,Muy bajo,-1.272,1
11003,Bajo,-0.611,1
11014,Medio,-0.268,1
11023,Medio,-0.304,0
11042,Bajo,-0.55,1
11033,Medio,-0.246,1
11031,Bajo,-1.064,1
11030,Medio,-0.044,0
11002,Bajo,-0.861,1
11028,Bajo,-0.639,1
11011,Bajo,-0.967,1
11005,Bajo,-0.803,1
11001,Medio,-0.265,0
11035,Medio,-0.431,1
11009,Medio,-0.2,1
11025,Bajo,-1.004,1
11032,Bajo,-0.914,0
11046,Medio,-0.419,1
11004,Bajo,-0.643,1
11041,Bajo,-1.005,1
11026,Medio,-0.449,0
11044,Bajo,-1.02,1
11021,Muy bajo,-1.197,1
11019,Medio,-0.017,0
11029,Alto,0.27,0
11008,Medio,-0.425,1
11018,Bajo,-0.795,1
11039,Medio,-0.447,0
11012,Medio,-0.483,1
11013,Medio,-0.286,0
11022,Medio,-0.174,0
11016,Bajo,-0.527,0
11043,Medio,0.059,0
11040,Alto,0.413,0
11038,Bajo,-0.574,1
11010,Medio,-0.415,0
11024,Medio,-0.411,0
11045,Alto,0.677,2
11036,Medio,-0.388,0
11034,Alto,0.147,0
11006,Alto,0.627,0
12001,Bajo,-0.768,1
12029,Bajo,-0.733,1
12035,Bajo,-0.58,1
12028,Muy alto,1.791,3
12038,Bajo,-0.637,1
12055,Medio,-0.285,1
12066,Alto,0.619,1
12021,Alto,0.56,2
12012,Muy alto,2.075,2
12046,Alto,0.769,2
12057,Alto,0.102,1
12011,Alto,0.207,0
12058,Alto,0.604,2
12075,Alto,0.21,1
12053,Alto,0.915,2
12056,Alto,0.957,2
12048,Medio,-0.135,1
12052,Muy alto,2.066,3
12061,Alto,0.162,1
12022,Muy alto,1.324,2
12003,Muy alto,1.315,2
12050,Medio,-0.384,1
12032,Muy alto,1.806,3
12034,Alto,0.417,1
12076,Muy alto,2.632,3
12051,Muy alto,1.258,2
12059,Alto,0.582,2
12007,Medio,-0.14,1
12071,Muy alto,2.39,3
12054,Muy alto,2.583,3
12023,Alto,0.575,2
12010,Muy alto,2.295,3
12002,Muy alto,2.14,3
12068,Alto,0.437,0
12040,Alto,0.916,2
12041,Muy alto,1.665,3
12045,Muy alto,2.008,3
12039,Medio,0.078,1
12062,Muy alto,2.768,3
12074,Muy alto,1.862,3
12067,Alto,0.305,1
12030,Alto,0.446,1
12020,Muy alto,2.569,3
12027,Alto,1.02,3
12043,Muy alto,2.908,3
12004,Muy alto,2.554,3
12042,Muy alto,1.744,3
12078,Muy alto,4.744,3
12073,Muy alto,1.403,3
12079,Muy alto,3.324,3
12025,Muy alto,1.374,3
12014,Medio,-0.24,1
12033,Alto,0.129,2
12019,Muy alto,2.696,3
12013,Alto,1.066,3
12060,Alto,0.803,3
12018,Alto,0.351,1
12077,Alto,0.473,1
12017,Alto,0.156,0
12015,Bajo,-0.526,1
12049,Medio,-0.182,1
12044,Alto,0.184,1
12016,Muy alto,2.201,3
12064,Alto,0.199,0
12069,Muy alto,2.216,3
12036,Muy alto,1.275,3
12072,Muy alto,2.137,3
12006,Alto,0.154,1
12081,Muy alto,1.318,3
12063,Muy alto,2.196,3
12008,Muy alto,1.349,3
12026,Muy alto,1.366,3
12024,Alto,1.124,3
12080,Alto,0.983,3
12065,Muy alto,1.271,3
12070,Alto,0.935,3
12047,Muy alto,2.494,3
12005,Alto,0.558,3
12037,Alto,0.856,3
12031,Alto,1.197,3
12009,Muy alto,2.17,3
13048,Muy bajo,-1.675,1
13077,Muy bajo,-1.117,1
13051,Muy bajo,-1.524,0
13028,Medio,-0.07,0
13069,Muy bajo,-1.473,1
13076,Muy bajo,-1.38,1
13030,Bajo,-0.699,1
13063,Muy bajo,-1.086,1
13016,Medio,-0.299,0
13003,Bajo,-0.994,1
13061,Muy bajo,-1.487,1
13067,Bajo,-0.595,0
13041,Muy bajo,-1.086,1
13029,Bajo,-0.66,0
13083,Bajo,-1.019,0
13008,Bajo,-1.035,1
13002,Alto,0.668,3
13084,Medio,-0.446,0
13073,Alto,0.59,2
13046,Alto,0.162,2
13013,Muy bajo,-1.251,0
13059,Medio,-0.033,0
13056,Bajo,-1.056,1
13052,Bajo,-0.86,0
13023,Bajo,-1.068,1
13054,Bajo,-0.641,0
13081,Bajo,-0.658,1
13062,Alto,1.229,3
13010,Muy bajo,-1.451,1
13074,Muy bajo,-1.168,1
13012,Medio,-0.222,0
13027,Muy alto,1.486,3
13080,Muy alto,1.367,3
13018,Alto,0.285,2
13050,Muy bajo,-1.284,1
13025,Alto,0.389,2
13001,Medio,0.08,0
13006,Medio,0.047,0
13037,Alto,0.313,2
13011,Alto,0.482,2
13078,Muy alto,1.296,3
13070,Bajo,-0.907,1
13053,Alto,1.201,3
13009,Bajo,-0.65,0
13060,Alto,0.35,2
13082,Bajo,-0.948,1
13015,Medio,-0.233,0
13005,Bajo,-0.88,1
13019,Medio,-0.296,0
13024,Medio,-0.207,0
13049,Alto,0.699,3
13014,Alto,0.389,2
13055,Medio,-0.436,0
13044,Medio,-0.139,0
13075,Muy bajo,-1.094,1
13058,Medio,-0.215,0
13057,Medio,-0.111,0
13068,Alto,0.951,3
13021,Muy bajo,-1.279,1
13022,Bajo,-0.883,0
13039,Muy bajo,-1.204,1
13026,Alto,0.447,2
13017,Alto,0.272,0
13031,Alto,0.113,0
13066,Bajo,-0.975,1
13007,Medio,-0.325,0
13032,Medio,0.044,1
13035,Medio,-0.277,0
13065,Muy bajo,-1.176,1
13042,Medio,-0.041,0
13064,Bajo,-0.747,0
13071,Alto,0.339,0
13072,Muy bajo,-1.442,1
13040,Alto,1.035,3
13045,Medio,-0.147,0
13034,Alto,0.564,2
13036,Medio,-0.053,0
13004,Alto,0.144,0
13038,Alto,0.087,0
13079,Medio,0.08,0
13043,Alto,0.321,0
13047,Alto,0.381,2
13033,Medio,-0.025,0
13020,Medio,0.062,0
14039,Muy bajo,-1.862,1
14120,Muy bajo,-1.795,1
14098,Muy bajo,-1.495,1
14097,Muy bajo,-1.554,1
14101,Muy bajo,-1.459,1
14067,Muy bajo,-1.639,1
14070,Muy bajo,-1.24,1
14053,Bajo,-0.939,1
14093,Muy bajo,-1.371,1
14023,Muy bajo,-1.604,1
14063,Muy bajo,-1.355,1
14083,Muy bajo,-1.241,1
14008,Muy bajo,-1.096,1
14073,Muy bajo,-1.121,1
14124,Bajo,-0.969,1
14018,Bajo,-1.071,1
14006,Muy bajo,-1.176,1
14015,Muy bajo,-1.288,1
14013,Muy bajo,-1.17,1
14035,Bajo,-0.815,1
14044,Muy bajo,-1.202,1
14066,Bajo,-0.659,1
14030,Muy bajo,-1.341,1
14050,Bajo,-1.023,1
14094,Muy bajo,-1.086,1
14022,Bajo,-0.84,1
14091,Bajo,-0.788,1
14085,Bajo,-1.04,1
14016,Bajo,-0.688,1
14082,Muy bajo,-1.257,1
14100,Bajo,-0.546,0
14108,Bajo,-1.06,1
14046,Bajo,-1.061,1
14078,Bajo,-1.059,1
14064,Bajo,-0.543,1
14121,Muy bajo,-1.176,1
14119,Bajo,-0.898,1
14077,Bajo,-0.982,0
14024,Bajo,-1.025,1
14047,Bajo,-0.992,1
14043,Bajo,-0.71,0
14037,Muy bajo,-1.355,1
14003,Muy bajo,-1.325,1
14105,Bajo,-0.926,1
14055,Bajo,-1.038,1
14118,Bajo,-0.879,1
14002,Muy bajo,-1.392,1
14021,Bajo,-0.841,1
14001,Bajo,-0.824,1
14033,Bajo,-0.81,1
14096,Bajo,-0.71,1
14116,Muy bajo,-1.127,1
14009,Muy bajo,-1.265,1
14036,Muy bajo,-1.255,1
14086,Bajo,-0.577,0
14048,Bajo,-0.677,1
14061,Muy alto,3.03,3
14045,Bajo,-0.616,0
14125,Bajo,-0.812,1
14027,Alto,0.815,2
14029,Medio,-0.333,0
14051,Muy bajo,-1.363,1
14109,Bajo,-0.606,1
14123,Medio,-0.484,0
14025,Muy bajo,-1.181,1
14114,Bajo,-0.896,1
14088,Bajo,-1.011,1
14087,Bajo,-0.865,1
14113,Medio,-0.493,0
14074,Muy bajo,-1.196,1
14005,Muy bajo,-1.12,1
14084,Bajo,-0.857,1
14058,Muy bajo,-1.144,1
14079,Bajo,-0.936,1
14059,Bajo,-0.951,1
14110,Muy bajo,-1.156,1
14017,Bajo,-0.838,1
14065,Bajo,-0.571,1
14068,Medio,-0.441,1
14092,Medio,-0.434,0
14099,Medio,-0.048,0
14020,Medio,-0.378,0
14049,Medio,-0.09,0
14040,Medio,-0.272,0
14095,Bajo,-0.836,0
14007,Bajo,-1.017,1
14042,Medio,0.077,0
14069,Medio,-0.107,0
14014,Bajo,-0.542,1
14103,Bajo,-0.793,0
14072,Bajo,-0.804,1
14019,Muy alto,2.702,3
14122,Alto,0.129,0
14090,Bajo,-0.825,0
14111,Bajo,-1.02,0
14010,Bajo,-0.615,1
14107,Bajo,-0.808,0
14032,Medio,-0.29,0
14026,Bajo,-0.666,0
14102,Bajo,-0.77,0
14080,Medio,-0.47,0
14052,Bajo,-0.546,0
14041,Bajo,-0.5,0
14011,Medio,-0.22,0
14115,Alto,0.214,0
14112,Bajo,-0.751,0
14004,Bajo,-0.769,0
14054,Bajo,-0.823,0
14060,Bajo,-0.588,0
14104,Medio,-0.479,0
14106,Medio,-0.036,0
14038,Bajo,-0.558,0
14117,Bajo,-0.594,0
14012,Bajo,-0.88,0
14075,Bajo,-0.853,0
14089,Bajo,-0.621,0
14057,Bajo,-0.908,0
14062,Bajo,-0.522,0
14031,Alto,0.968,2
14076,Bajo,-0.501,0
14071,Medio,-0.334,0
14081,Medio,-0.221,0
14028,Bajo,-0.627,0
14056,Alto,0.579,0
14034,Bajo,-0.759,0
15033,Muy bajo,-1.588,1
15058,Muy bajo,-1.579,1
15106,Muy bajo,-1.484,1
15057,Muy bajo,-1.576,1
15104,Muy bajo,-1.711,1
15031,Bajo,-1.073,1
15121,Muy bajo,-1.891,1
15013,Muy bajo,-1.73,1
15109,Muy bajo,-1.668,1
15039,Muy bajo,-1.385,1
15081,Muy bajo,-1.661,1
15060,Muy bajo,-1.315,1
15122,Bajo,-1.049,1
15025,Muy bajo,-1.114,1
15070,Bajo,-1.028,1
15020,Muy bajo,-2.013,1
15037,Muy bajo,-1.752,1
15099,Muy bajo,-1.49,1
15054,Muy bajo,-1.839,1
15029,Muy bajo,-1.463,1
15120,Muy bajo,-1.248,1
15118,Muy bajo,-1.188,1
15005,Medio,-0.402,0
15042,Medio,-0.253,1
15002,Muy bajo,-1.15,1
15108,Muy bajo,-1.636,1
15024,Muy bajo,-1.854,1
15051,Muy bajo,-1.175,1
15074,Alto,0.276,0
15035,Muy bajo,-1.403,1
15114,Alto,0.679,0
15087,Medio,-0.166,0
15014,Bajo,-0.733,1
15088,Medio,-0.411,0
15095,Muy bajo,-1.431,1
15124,Alto,0.538,2
15045,Medio,-0.269,0
15090,Bajo,-0.714,1
15067,Bajo,-0.599,0
15082,Medio,-0.1,0
15101,Bajo,-0.879,1
15076,Muy bajo,-1.43,1
15047,Medio,-0.305,0
15113,Medio,-0.073,0
15091,Muy bajo,-1.388,1
15062,Muy bajo,-1.23,1
15001,Alto,0.38,0
15110,Bajo,-0.789,1
15048,Bajo,-0.615,1
15085,Medio,-0.093,0
15011,Bajo,-1.009,1
15053,Muy bajo,-1.35,1
15092,Muy bajo,-1.29,1
15018,Muy bajo,-1.319,1
15111,Alto,0.308,0
15115,Muy bajo,-1.168,1
15009,Muy bajo,-1.08,1
15003,Alto,0.197,0
15103,Muy bajo,-1.334,1
15112,Medio,-0.067,0
15036,Bajo,-0.818,1
15023,Muy bajo,-1.215,1
15100,Bajo,-0.843,1
15021,Medio,0.018,0
15059,Bajo,-0.979,1
15084,Bajo,-0.88,1
15064,Medio,-0.366,0
15096,Muy bajo,-1.247,1
15040,Bajo,-0.524,1
15019,Muy bajo,-1.259,1
15065,Bajo,-1.009,0
15105,Alto,0.315,0
15063,Medio,-0.049,0
15032,Alto,0.789,2
15086,Alto,0.293,0
15015,Medio,-0.483,1
15093,Bajo,-1.017,1
15056,Alto,0.424,2
15043,Bajo,-0.694,1
15010,Muy bajo,-1.208,1
15028,Bajo,-1.04,1
15068,Bajo,-0.811,1
15026,Medio,0.013,0
15123,Alto,0.379,0
15044,Muy bajo,-1.634,1
15016,Bajo,-0.668,0
15052,Medio,-0.38,0
15073,Muy bajo,-1.673,1
15075,Muy bajo,-1.221,1
15080,Alto,0.509,0
15008,Alto,0.332,0
15030,Muy bajo,-1.247,1
15050,Bajo,-0.785,1
15007,Medio,-0.067,0
15094,Bajo,-0.706,1
15097,Alto,0.136,0
15046,Bajo,-0.826,0
15119,Alto,0.543,2
15102,Bajo,-0.56,0
15117,Alto,0.749,2
15004,Alto,0.16,0
15022,Bajo,-1.064,1
15049,Medio,-0.245,0
15071,Medio,-0.491,0
15079,Medio,-0.372,0
15072,Muy bajo,-1.298,1
15083,Muy bajo,-1.183,1
15055,Muy bajo,-1.371,1
15089,Bajo,-1.032,1
15107,Bajo,-0.933,1
15012,Muy bajo,-1.091,1
15027,Muy bajo,-1.491,1
15038,Bajo,-0.637,0
15006,Bajo,-1.05,1
15017,Bajo,-0.792,0
15125,Bajo,-1.072,1
15078,Medio,-0.297,0
15034,Bajo,-0.506,1
15061,Bajo,-0.807,0
15041,Alto,0.758,2
15077,Medio,-0.091,0
15098,Bajo,-0.782,0
15116,Medio,-0.428,0
15069,Muy bajo,-1.213,0
15066,Alto,0.249,0
16053,Muy bajo,-1.466,1
16102,Muy bajo,-1.107,1
16108,Bajo,-0.969,1
16052,Muy bajo,-1.261,1
16112,Bajo,-0.626,1
16006,Bajo,-0.578,1
16034,Medio,-0.257,1
16088,Bajo,-0.915,0
16069,Muy bajo,-1.22,1
16066,Bajo,-0.638,1
16050,Medio,-0.182,1
16082,Bajo,-0.572,1
16076,Muy bajo,-1.1,1
16107,Bajo,-0.999,1
16043,Bajo,-0.934,1
16075,Bajo,-0.571,1
16071,Medio,-0.387,1
16079,Medio,-0.012,1
16012,Medio,-0.125,1
16110,Medio,-0.337,0
16055,Medio,-0.303,1
16038,Alto,0.367,1
16025,Alto,0.186,2
16065,Medio,-0.05,1
16009,Medio,-0.418,1
16035,Alto,0.259,2
16017,Alto,0.096,0
16085,Medio,-0.303,1
16045,Bajo,-0.914,1
16097,Alto,0.679,2
16106,Bajo,-0.8,1
16083,Medio,-0.317,0
16020,Medio,-0.288,0
16084,Alto,0.172,1
16056,Alto,0.784,2
16073,Medio,-0.266,1
16068,Bajo,-0.868,1
16093,Alto,0.278,0
16098,Medio,-0.241,0
16064,Alto,0.276,2
16113,Medio,-0.407,0
16008,Muy alto,1.551,3
16103,Bajo,-0.582,1
16061,Alto,0.211,0
16089,Medio,-0.439,1
16033,Medio,-0.229,1
16010,Medio,-0.049,1
16022,Bajo,-0.553,0
16003,Medio,-0.486,1
16047,Medio,-0.076,0
16016,Medio,0.047,0
16105,Bajo,-0.724,1
16058,Bajo,-0.835,1
16062,Medio,-0.292,1
16080,Medio,-0.028,0
16024,Alto,0.134,1
16019,Bajo,-0.665,1
16015,Medio,-0.063,1
16049,Alto,0.724,2
16077,Alto,0.614,2
16111,Medio,-0.108,0
16104,Medio,-0.173,0
16040,Medio,-0.167,1
16067,Medio,-0.083,0
16031,Alto,0.092,0
16063,Medio,-0.192,0
16029,Alto,1.094,3
16099,Alto,0.689,3
16086,Bajo,-0.724,1
16032,Medio,-0.049,0
16070,Bajo,-1.005,1
16002,Medio,0.036,1
16041,Alto,0.09,0
16004,Medio,-0.313,0
16090,Medio,-0.341,1
16087,Bajo,-0.632,1
16091,Bajo,-0.606,1
16100,Medio,-0.115,0
16014,Medio,-0.466,1
16046,Medio,-0.101,0
16072,Medio,-0.469,1
16051,Muy bajo,-1.191,1
16092,Muy alto,1.237,3
16030,Medio,-0.358,0
16042,Medio,-0.102,0
16078,Medio,-0.359,1
16044,Medio,-0.219,0
16021,Alto,0.844,3
16095,Bajo,-0.814,1
16036,Medio,-0.467,1
16001,Medio,-0.219,1
16011,Bajo,-0.589,0
16005,Medio,-0.209,0
16074,Medio,-0.45,1
16023,Medio,-0.495,1
16060,Medio,-0.474,0
16013,Alto,0.658,2
16018,Medio,-0.368,0
16101,Muy alto,1.338,3
16039,Medio,-0.404,0
16081,Alto,0.975,3
16057,Alto,0.855,2
16037,Medio,0.011,0
16059,Medio,-0.106,0
16054,Medio,-0.143,0
16096,Alto,0.786,2
16094,Medio,-0.101,0
16048,Medio,-0.438,0
16026,Alto,0.458,0
16028,Medio,-0.454,0
16027,Alto,0.191,0
16007,Alto,0.209,0
16109,Medio,-0.431,0
17007,Muy bajo,-1.674,1
17011,Muy bajo,-1.461,1
17006,Muy bajo,-1.146,1
17018,Bajo,-1.044,1
17029,Bajo,-1.017,1
17008,Muy bajo,-1.144,1
17004,Bajo,-0.636,1
17028,Bajo,-0.865,1
17017,Bajo,-0.688,1
17012,Muy bajo,-1.078,1
17030,Bajo,-0.668,1
17024,Bajo,-0.729,1
17020,Bajo,-0.601,1
17031,Muy bajo,-1.423,1
17003,Medio,-0.062,1
17025,Bajo,-0.747,1
17019,Medio,-0.335,1
17015,Medio,-0.396,1
17002,Medio,-0.422,1
17022,Bajo,-0.614,1
17009,Bajo,-0.748,1
17016,Medio,-0.138,0
17001,Bajo,-0.534,0
17026,Bajo,-0.562,1
17010,Bajo,-0.543,0
17033,Medio,-0.442,1
17013,Bajo,-0.759,1
17027,Medio,-0.2,1
17014,Bajo,-0.527,0
17005,Medio,-0.209,0
17032,Bajo,-0.759,1
17021,Medio,-0.461,0
17023,Alto,0.184,0
18017,Muy bajo,-1.596,1
18020,Muy bajo,-1.311,1
18015,Bajo,-0.536,0
18004,Bajo,-0.954,1
18008,Muy bajo,-1.457,1
18012,Bajo,-0.574,0
18009,Muy alto,4.411,3
18016,Bajo,-0.705,0
18001,Bajo,-0.601,1
18010,Medio,-0.199,0
18018,Bajo,-0.912,1
18006,Muy bajo,-1.222,1
18011,Medio,-0.126,1
18014,Medio,-0.323,0
18007,Medio,-0.306,0
18002,Bajo,-0.937,1
18019,Muy alto,1.908,3
