CVE_MUN,GM,IM,k-means++,random
11007,Muy bajo,-1.386,3,0
11027,Muy bajo,-1.296,3,0
11037,Bajo,-0.785,3,0
11015,Muy bajo,-1.272,3,0
11003,Bajo,-0.611,1,4
11014,Medio,-0.268,1,4
11023,Medio,-0.304,1,4
11042,Bajo,-0.55,1,4
11033,Medio,-0.246,1,4
11031,Bajo,-1.064,3,0
11030,Medio,-0.044,4,2
11002,Bajo,-0.861,3,0
11028,Bajo,-0.639,1,4
11011,Bajo,-0.967,3,0
11005,Bajo,-0.803,1,4
11001,Medio,-0.265,1,4
11035,Medio,-0.431,1,4
11009,Medio,-0.2,4,2
11025,Bajo,-1.004,3,0
11032,Bajo,-0.914,1,4
11046,Medio,-0.419,1,4
11004,Bajo,-0.643,1,4
11041,Bajo,-1.005,3,0
11026,Medio,-0.449,1,4
11044,Bajo,-1.02,3,0
11021,Muy bajo,-1.197,3,0
11019,Medio,-0.017,4,2
11029,Alto,0.27,4,2
11008,Medio,-0.425,1,4
11018,Bajo,-0.795,3,0
11039,Medio,-0.447,1,4
11012,Medio,-0.483,1,4
11013,Medio,-0.286,1,4
11022,Medio,-0.174,1,4
11016,Bajo,-0.527,1,4
11043,Medio,0.059,1,4
11040,Alto,0.413,4,2
11038,Bajo,-0.574,1,4
11010,Medio,-0.415,1,4
11024,Medio,-0.411,1,4
11045,Alto,0.677,4,2
11036,Medio,-0.388,1,4
11034,Alto,0.147,4,2
11006,Alto,0.627,4,2
12001,Bajo,-0.768,3,0
12029,Bajo,-0.733,3,0
12035,Bajo,-0.58,3,0
12028,Muy alto,1.791,0,3
12038,Bajo,-0.637,3,0
12055,Medio,-0.285,4,2
12066,Alto,0.619,4,2
12021,Alto,0.56,4,2
12012,Muy alto,2.075,2,1
12046,Alto,0.769,4,2
12057,Alto,0.102,4,2
12011,Alto,0.207,4,2
12058,Alto,0.604,4,2
12075,Alto,0.21,4,2
12053,Alto,0.915,4,2
12056,Alto,0.957,4,2
12048,Medio,-0.135,4,2
12052,Muy alto,2.066,2,1
12061,Alto,0.162,4,2
12022,Muy alto,1.324,0,3
12003,Muy alto,1.315,4,2
12050,Medio,-0.384,3,0
12032,Muy alto,1.806,2,1
12034,Alto,0.417,4,2
12076,Muy alto,2.632,2,1
12051,Muy alto,1.258,0,3
12059,Alto,0.582,4,2
12007,Medio,-0.14,4,2
12071,Muy alto,2.39,0,3
12054,Muy alto,2.583,2,1
12023,Alto,0.575,4,2
12010,Muy alto,2.295,0,3
12002,Muy alto,2.14,0,3
12068,Alto,0.437,4,2
12040,Alto,0.916,0,3
12041,Muy alto,1.665,2,1
12045,Muy alto,2.008,2,1
12039,Medio,0.078,4,2
12062,Muy alto,2.768,2,1
12074,Muy alto,1.862,0,3
12067,Alto,0.305,4,2
12030,Alto,0.446,4,2
12020,Muy alto,2.569,2,1
12027,Alto,1.02,0,3
12043,Muy alto,2.908,2,1
12004,Muy alto,2.554,2,1
12042,Muy alto,1.744,0,3
12078,Muy alto,4.744,2,1
12073,Muy alto,1.403,0,3
12079,Muy alto,3.324,2,1
12025,Muy alto,1.374,4,2
12014,Medio,-0.24,4,2
12033,Alto,0.129,4,2
12019,Muy alto,2.696,2,1
12013,Alto,1.066,4,2
12060,Alto,0.803,4,2
12018,Alto,0.351,4,2
12077,Alto,0.473,4,2
12017,Alto,0.156,4,2
12015,Bajo,-0.526,1,4
12049,Medio,-0.182,4,2
12044,Alto,0.184,4,2
12016,Muy alto,2.201,2,1
12064,Alto,0.199,4,2
12069,Muy alto,2.216,0,3
12036,Muy alto,1.275,0,3
12072,Muy alto,2.137,0,3
12006,Alto,0.154,4,2
12081,Muy alto,1.318,0,3
12063,Muy alto,2.196,2,1
12008,Muy alto,1.349,0,3
12026,Muy alto,1.366,0,3
12024,Alto,1.124,0,3
12080,Alto,0.983,4,2
12065,Muy alto,1.271,0,3
12070,Alto,0.935,0,3
12047,Muy alto,2.494,2,1
12005,Alto,0.558,4,2
12037,Alto,0.856,4,2
12031,Alto,1.197,0,3
12009,Muy alto,2.17,2,1
13048,Muy bajo,-1.675,3,0
13077,Muy bajo,-1.117,3,0
13051,Muy bajo,-1.524,3,0
13028,Medio,-0.07,4,2
13069,Muy bajo,-1.473,3,0
13076,Muy bajo,-1.38,3,0
13030,Bajo,-0.699,1,4
13063,Muy bajo,-1.086,3,0
13016,Medio,-0.299,1,4
13003,Bajo,-0.994,3,0
13061,Muy bajo,-1.487,3,0
13067,Bajo,-0.595,1,4
13041,Muy bajo,-1.086,3,0
13029,Bajo,-0.66,1,4
13083,Bajo,-1.019,1,4
13008,Bajo,-1.035,3,0
13002,Alto,0.668,4,2
13084,Medio,-0.446,1,4
13073,Alto,0.59,4,2
13046,Alto,0.162,4,2
13013,Muy bajo,-1.251,3,0
13059,Medio,-0.033,4,2
13056,Bajo,-1.056,3,0
13052,Bajo,-0.86,1,4
13023,Bajo,-1.068,3,0
13054,Bajo,-0.641,1,4
13081,Bajo,-0.658,3,0
13062,Alto,1.229,0,3
13010,Muy bajo,-1.451,3,0
13074,Muy bajo,-1.168,3,0
13012,Medio,-0.222,1,4
13027,Muy alto,1.486,0,3
13080,Muy alto,1.367,0,3
13018,Alto,0.285,4,2
13050,Muy bajo,-1.284,3,0
13025,Alto,0.389,4,2
13001,Medio,0.08,4,2
13006,Medio,0.047,4,2
13037,Alto,0.313,4,2
13011,Alto,0.482,4,2
13078,Muy alto,1.296,0,3
13070,Bajo,-0.907,3,0
13053,Alto,1.201,0,3
13009,Bajo,-0.65,1,4
13060,Alto,0.35,4,2
13082,Bajo,-0.948,3,0
13015,Medio,-0.233,1,4
13005,Bajo,-0.88,1,4
13019,Medio,-0.296,1,4
13024,Medio,-0.207,1,4
13049,Alto,0.699,4,2
13014,Alto,0.389,4,2
13055,Medio,-0.436,1,4
13044,Medio,-0.139,1,4
13075,Muy bajo,-1.094,3,0
13058,Medio,-0.215,1,4
13057,Medio,-0.111,1,4
13068,Alto,0.951,0,3
13021,Muy bajo,-1.279,3,0
13022,Bajo,-0.883,1,4
13039,Muy bajo,-1.204,3,0
13026,Alto,0.447,4,2
13017,Alto,0.272,4,2
13031,Alto,0.113,4,2
13066,Bajo,-0.975,3,0
13007,Medio,-0.325,1,4
13032,Medio,0.044,4,2
13035,Medio,-0.277,1,4
13065,Muy bajo,-1.176,3,0
13042,Medio,-0.041,1,4
13064,Bajo,-0.747,1,4
13071,Alto,0.339,4,2
13072,Muy bajo,-1.442,3,0
13040,Alto,1.035,0,3
13045,Medio,-0.147,1,4
13034,Alto,0.564,4,2
13036,Medio,-0.053,1,4
13004,Alto,0.144,4,2
13038,Alto,0.087,4,2
13079,Medio,0.08,4,2
13043,Alto,0.321,4,2
13047,Alto,0.381,4,2
13033,Medio,-0.025,1,4
13020,Medio,0.062,4,2
14039,Muy bajo,-1.862,3,0
14120,Muy bajo,-1.795,3,0
14098,Muy bajo,-1.495,3,0
14097,Muy bajo,-1.554,3,0
14101,Muy bajo,-1.459,3,0
14067,Muy bajo,-1.639,3,0
14070,Muy bajo,-1.24,3,0
14053,Bajo,-0.939,3,0
14093,Muy bajo,-1.371,3,0
14023,Muy bajo,-1.604,3,0
14063,Muy bajo,-1.355,3,0
14083,Muy bajo,-1.241,3,0
14008,Muy bajo,-1.096,3,0
14073,Muy bajo,-1.121,3,0
14124,Bajo,-0.969,3,0
14018,Bajo,-1.071,3,0
14006,Muy bajo,-1.176,3,0
14015,Muy bajo,-1.288,3,0
14013,Muy bajo,-1.17,3,0
14035,Bajo,-0.815,1,4
14044,Muy bajo,-1.202,3,0
14066,Bajo,-0.659,3,0
14030,Muy bajo,-1.341,3,0
14050,Bajo,-1.023,3,0
14094,Muy bajo,-1.086,3,0
14022,Bajo,-0.84,3,0
14091,Bajo,-0.788,3,0
14085,Bajo,-1.04,3,0
14016,Bajo,-0.688,1,4
14082,Muy bajo,-1.257,3,0
14100,Bajo,-0.546,1,4
14108,Bajo,-1.06,3,0
14046,Bajo,-1.061,3,0
14078,Bajo,-1.059,3,0
14064,Bajo,-0.543,1,4
14121,Muy bajo,-1.176,3,0
14119,Bajo,-0.898,3,0
14077,Bajo,-0.982,1,4
14024,Bajo,-1.025,3,0
14047,Bajo,-0.992,3,0
14043,Bajo,-0.71,1,4
14037,Muy bajo,-1.355,3,0
14003,Muy bajo,-1.325,3,0
14105,Bajo,-0.926,3,0
14055,Bajo,-1.038,3,0
14118,Bajo,-0.879,3,0
14002,Muy bajo,-1.392,3,0
14021,Bajo,-0.841,3,0
14001,Bajo,-0.824,3,0
14033,Bajo,-0.81,1,4
14096,Bajo,-0.71,3,0
14116,Muy bajo,-1.127,3,0
14009,Muy bajo,-1.265,3,0
14036,Muy bajo,-1.255,3,0
14086,Bajo,-0.577,1,4
14048,Bajo,-0.677,1,4
14061,Muy alto,3.03,2,1
14045,Bajo,-0.616,1,4
14125,Bajo,-0.812,3,0
14027,Alto,0.815,4,2
14029,Medio,-0.333,1,4
14051,Muy bajo,-1.363,3,0
14109,Bajo,-0.606,1,4
14123,Medio,-0.484,1,4
14025,Muy bajo,-1.181,3,0
14114,Bajo,-0.896,1,4
14088,Bajo,-1.011,3,0
14087,Bajo,-0.865,3,0
14113,Medio,-0.493,1,4
14074,Muy bajo,-1.196,3,0
14005,Muy bajo,-1.12,3,0
14084,Bajo,-0.857,3,0
14058,Muy bajo,-1.144,3,0
14079,Bajo,-0.936,3,0
14059,Bajo,-0.951,3,0
14110,Muy bajo,-1.156,3,0
14017,Bajo,-0.838,3,0
14065,Bajo,-0.571,1,4
14068,Medio,-0.441,1,4
14092,Medio,-0.434,1,4
14099,Medio,-0.048,1,4
14020,Medio,-0.378,1,4
14049,Medio,-0.09,1,4
14040,Medio,-0.272,1,4
14095,Bajo,-0.836,1,4
14007,Bajo,-1.017,3,0
14042,Medio,0.077,4,2
14069,Medio,-0.107,1,4
14014,Bajo,-0.542,1,4
14103,Bajo,-0.793,1,4
14072,Bajo,-0.804,3,0
14019,Muy alto,2.702,2,1
14122,Alto,0.129,4,2
14090,Bajo,-0.825,1,4
14111,Bajo,-1.02,1,4
14010,Bajo,-0.615,3,0
14107,Bajo,-0.808,1,4
14032,Medio,-0.29,1,4
14026,Bajo,-0.666,1,4
14102,Bajo,-0.77,1,4
14080,Medio,-0.47,1,4
14052,Bajo,-0.546,1,4
14041,Bajo,-0.5,1,4
14011,Medio,-0.22,1,4
14115,Alto,0.214,4,2
14112,Bajo,-0.751,1,4
14004,Bajo,-0.769,1,4
14054,Bajo,-0.823,1,4
14060,Bajo,-0.588,1,4
14104,Medio,-0.479,1,4
14106,Medio,-0.036,1,4
14038,Bajo,-0.558,1,4
14117,Bajo,-0.594,1,4
14012,Bajo,-0.88,1,4
14075,Bajo,-0.853,1,4
14089,Bajo,-0.621,1,4
14057,Bajo,-0.908,1,4
14062,Bajo,-0.522,1,4
14031,Alto,0.968,2,1
14076,Bajo,-0.501,1,4
14071,Medio,-0.334,1,4
14081,Medio,-0.221,1,4
14028,Bajo,-0.627,1,4
14056,Alto,0.579,4,2
14034,Bajo,-0.759,1,4
15033,Muy bajo,-1.588,3,0
15058,Muy bajo,-1.579,3,0
15106,Muy bajo,-1.484,3,0
15057,Muy bajo,-1.576,3,0
15104,Muy bajo,-1.711,3,0
15031,Bajo,-1.073,3,0
15121,Muy bajo,-1.891,3,0
15013,Muy bajo,-1.73,3,0
15109,Muy bajo,-1.668,3,0
15039,Muy bajo,-1.385,3,0
15081,Muy bajo,-1.661,3,0
15060,Muy bajo,-1.315,3,0
15122,Bajo,-1.049,3,0
15025,Muy bajo,-1.114,3,0
15070,Bajo,-1.028,3,0
15020,Muy bajo,-2.013,3,0
15037,Muy bajo,-1.752,3,0
15099,Muy bajo,-1.49,3,0
15054,Muy bajo,-1.839,3,0
15029,Muy bajo,-1.463,3,0
15120,Muy bajo,-1.248,3,0
15118,Muy bajo,-1.188,3,0
15005,Medio,-0.402,1,4
15042,Medio,-0.253,4,2
15002,Muy bajo,-1.15,3,0
15108,Muy bajo,-1.636,3,0
15024,Muy bajo,-1.854,3,0
15051,Muy bajo,-1.175,3,0
15074,Alto,0.276,4,2
15035,Muy bajo,-1.403,3,0
15114,Alto,0.679,4,2
15087,Medio,-0.166,1,4
15014,Bajo,-0.733,1,4
15088,Medio,-0.411,1,4
15095,Muy bajo,-1.431,3,0
15124,Alto,0.538,4,2
15045,Medio,-0.269,1,4
15090,Bajo,-0.714,3,0
15067,Bajo,-0.599,1,4
15082,Medio,-0.1,4,2
15101,Bajo,-0.879,3,0
15076,Muy bajo,-1.43,3,0
15047,Medio,-0.305,1,4
15113,Medio,-0.073,4,2
15091,Muy bajo,-1.388,3,0
15062,Muy bajo,-1.23,3,0
15001,Alto,0.38,4,2
15110,Bajo,-0.789,3,0
15048,Bajo,-0.615,1,4
15085,Medio,-0.093,4,2
15011,Bajo,-1.009,3,0
15053,Muy bajo,-1.35,3,0
15092,Muy bajo,-1.29,3,0
15018,Muy bajo,-1.319,3,0
15111,Alto,0.308,4,2
15115,Muy bajo,-1.168,3,0
15009,Muy bajo,-1.08,3,0
15003,Alto,0.197,4,2
15103,Muy bajo,-1.334,3,0
15112,Medio,-0.067,4,2
15036,Bajo,-0.818,3,0
15023,Muy bajo,-1.215,3,0
15100,Bajo,-0.843,3,0
15021,Medio,0.018,4,2
15059,Bajo,-0.979,3,0
15084,Bajo,-0.88,3,0
15064,Medio,-0.366,1,4
15096,Muy bajo,-1.247,3,0
15040,Bajo,-0.524,1,4
15019,Muy bajo,-1.259,3,0
15065,Bajo,-1.009,1,4
15105,Alto,0.315,4,2
15063,Medio,-0.049,4,2
15032,Alto,0.789,4,2
15086,Alto,0.293,4,2
15015,Medio,-0.483,3,0
15093,Bajo,-1.017,3,0
15056,Alto,0.424,4,2
15043,Bajo,-0.694,3,0
15010,Muy bajo,-1.208,3,0
15028,Bajo,-1.04,3,0
15068,Bajo,-0.811,3,0
15026,Medio,0.013,4,2
15123,Alto,0.379,4,2
15044,Muy bajo,-1.634,3,0
15016,Bajo,-0.668,1,4
15052,Medio,-0.38,1,4
15073,Muy bajo,-1.673,3,0
15075,Muy bajo,-1.221,3,0
15080,Alto,0.509,4,2
15008,Alto,0.332,4,2
15030,Muy bajo,-1.247,3,0
15050,Bajo,-0.785,3,0
15007,Medio,-0.067,1,4
15094,Bajo,-0.706,3,0
15097,Alto,0.136,4,2
15046,Bajo,-0.826,1,4
15119,Alto,0.543,4,2
15102,Bajo,-0.56,1,4
15117,Alto,0.749,4,2
15004,Alto,0.16,4,2
15022,Bajo,-1.064,3,0
15049,Medio,-0.245,1,4
15071,Medio,-0.491,1,4
15079,Medio,-0.372,1,4
15072,Muy bajo,-1.298,3,0
15083,Muy bajo,-1.183,3,0
15055,Muy bajo,-1.371,3,0
15089,Bajo,-1.032,3,0
15107,Bajo,-0.933,3,0
15012,Muy bajo,-1.091,3,0
15027,Muy bajo,-1.491,3,0
15038,Bajo,-0.637,1,4
15006,Bajo,-1.05,3,0
15017,Bajo,-0.792,1,4
15125,Bajo,-1.072,3,0
15078,Medio,-0.297,1,4
15034,Bajo,-0.506,3,0
15061,Bajo,-0.807,1,4
15041,Alto,0.758,4,2
15077,Medio,-0.091,1,4
15098,Bajo,-0.782,1,4
15116,Medio,-0.428,1,4
15069,Muy bajo,-1.213,1,4
15066,Alto,0.249,4,2
16053,Muy bajo,-1.466,3,0
16102,Muy bajo,-1.107,3,0
16108,Bajo,-0.969,3,0
16052,Muy bajo,-1.261,3,0
16112,Bajo,-0.626,3,0
16006,Bajo,-0.578,3,0
16034,Medio,-0.257,4,2
16088,Bajo,-0.915,1,4
16069,Muy bajo,-1.22,3,0
16066,Bajo,-0.638,3,0
16050,Medio,-0.182,4,2
16082,Bajo,-0.572,1,4
16076,Muy bajo,-1.1,3,0
16107,Bajo,-0.999,3,0
16043,Bajo,-0.934,3,0
16075,Bajo,-0.571,3,0
16071,Medio,-0.387,1,4
16079,Medio,-0.012,4,2
16012,Medio,-0.125,4,2
16110,Medio,-0.337,1,4
16055,Medio,-0.303,4,2
16038,Alto,0.367,4,2
16025,Alto,0.186,4,2
16065,Medio,-0.05,4,2
16009,Medio,-0.418,1,4
16035,Alto,0.259,4,2
16017,Alto,0.096,4,2
16085,Medio,-0.303,1,4
16045,Bajo,-0.914,3,0
16097,Alto,0.679,4,2
16106,Bajo,-0.8,3,0
16083,Medio,-0.317,1,4
16020,Medio,-0.288,1,4
16084,Alto,0.172,4,2
16056,Alto,0.784,0,3
16073,Medio,-0.266,4,2
16068,Bajo,-0.868,3,0
16093,Alto,0.278,4,2
16098,Medio,-0.241,1,4
16064,Alto,0.276,4,2
16113,Medio,-0.407,1,4
16008,Muy alto,1.551,2,1
16103,Bajo,-0.582,1,4
16061,Alto,0.211,4,2
16089,Medio,-0.439,3,0
16033,Medio,-0.229,4,2
16010,Medio,-0.049,4,2
16022,Bajo,-0.553,1,4
