CVE_MUN,GM,IM,linear Component 1,linear Component 2,linear Component 3,rbf Component 1,rbf Component 2,rbf Component 3,cosine Component 1,cosine Component 2,cosine Component 3,sigmoid Component 1,sigmoid Component 2,sigmoid Component 3
01008,Bajo,-0.735,-0.014830495754709776,-0.0016053002285825058,0.013847528124154405,0.014448873588069481,0.023577544792125465,0.02505640043154443,-0.018364247296849063,-0.024548442108354693,0.0010616607535210486,-0.015831007182140942,-0.013974541029146264,0.0029745570232813778
02004,Muy bajo,-1.708,-0.034456364984292394,0.020670330398685963,-0.01127665772223386,0.031174947165295355,-0.03447643500221491,0.006105293831968296,-0.027611316656073814,0.013488138581866094,0.008710645631978691,-0.03635523967721864,0.01633587327115386,0.0075286719800879524
02002,Muy bajo,-1.648,-0.03324385181914862,0.01858881500620466,-0.008865223428470273,0.0332270814140418,-0.03126090522260092,0.006984155759438549,-0.02798769386048574,0.01093599588592994,0.007812429709362856,-0.03529812472417002,0.012603881397951917,0.006725791042907613
02001,Muy bajo,-1.323,-0.0267005055819702,0.016975756107981833,-0.013176738819400988,0.03481645471224538,-0.0201990757044059,0.0030177191078863378,-0.02744166571432045,0.011296749403263107,0.014371719090894016,-0.028341457665078236,0.014570995049010577,0.01866411250729505
02003,Muy bajo,-1.408,-0.028406625733360346,0.019446257764538764,-0.011378087513782973,0.033919644919486014,-0.021638286496474788,0.011358287784974084,-0.027593699445919908,0.007601922454644394,0.01715597758440508,-0.03039210614977322,0.013552568432028638,0.025341573338045764
02005,Muy bajo,-1.463,-0.029516135702353105,0.01842963806874856,-0.01423094853140948,0.03416148590481206,-0.02543727739164133,0.00624407508143752,-0.02759582956847565,0.011256792129252622,0.014343537119061632,-0.03142187781622937,0.016913521804926536,0.01882247781789819
03008,Muy bajo,-1.296,-0.026157990851266164,0.028846669044225632,-0.025805062906413753,0.025571536612743948,-0.02878159294677435,-0.0018747267650043704,-0.023641307739330063,0.024480651060218888,0.019657681057312432,-0.02682179321569825,0.04696176967200734,0.02304287446126204
03003,Muy bajo,-1.658,-0.033449560949948595,0.022864447434147752,-0.012129227209008348,0.03136731498306815,-0.0320867529563859,0.010204867811500653,-0.02763726156073878,0.010514147358010524,0.013323434230392232,-0.03555220883259563,0.01582939267412269,0.020719057718936493
03001,Bajo,-1.017,-0.02053199912698267,0.012779158667908231,-0.008148898014111934,0.03261422375154921,-0.007899821117821424,-0.01152088175937877,-0.02653316900127225,0.014103026970268308,0.004503774367117031,-0.02106793716203001,0.010849419789766385,0.0060535798454362365
03002,Bajo,-1.051,-0.021205736943306495,0.010081258729571487,-0.0034535005170731395,0.031822388478530965,-0.0024431747480425925,0.011035439083930957,-0.026865239334780622,0.0021963717133158408,0.013762753854540804,-0.022111171181917133,0.0017290150801803285,0.011269839955384855
03009,Muy bajo,-1.345,-0.02713620217536103,0.027770732451273872,-0.013881557853570503,0.03203748389313306,-0.026494217358079792,0.000764043234019927,-0.026363690665690408,0.016161144031792706,0.015978978038829684,-0.028553151073074684,0.02769608400070802,0.02744203163688133
04002,Muy bajo,-1.281,-0.025849309369753323,0.011605932987859119,-0.005836145955368761,0.03443805116847919,-0.020803183917591953,-0.017171622716331582,-0.02658008939810996,0.018782252960093553,-0.006979065711779213,-0.027170691385224745,0.014202921177546705,-0.019148090209976414
04003,Muy bajo,-1.186,-0.023928972029322027,0.02445984374723424,-0.017160991278542544,0.029929127316384332,-0.022857597984599843,-0.005510196803332492,-0.024771242262565038,0.021988811289613042,0.017808151074056366,-0.024606855192176237,0.03579277764412505,0.017557626431880288
04004,Medio,-0.159,-0.003198708887466267,0.001781354804776707,0.009260418262716879,0.0010072529750824867,0.017907466008253662,-0.03802893734366327,-0.006366849093736592,0.02310566101987321,-0.03241613419854895,-0.0017098689523844998,0.01603412597622827,-0.018209505737504555
04009,Medio,-0.174,-0.0035130394070313755,-0.0003200475483582369,0.00313249155261766,0.0016099085071275283,0.014590185089180112,-0.043525620394680324,-0.0059818819122600215,0.02842430723919475,-0.03978764412180458,-0.0019214100841517285,0.017512989158650637,-0.02345833716289242
04001,Medio,-0.248,-0.005009452188550654,0.0158576472485128,0.023080349690150017,0.0036160887925064185,-5.457018215089407e-05,-0.0300572695804819,-0.0068017393034614515,0.026517519073121564,-0.012635778336008688,-0.004211907152669053,0.0290863978539126,-0.022697604508613273
04011,Alto,0.769,0.015517614258516419,0.027243624890966593,-0.005162432348703628,-0.019027295862599016,-0.011057252054081321,-0.006430321887362021,0.01986451613923029,0.02104620994256059,0.02453149378980709,0.013843077066008245,0.027643491528847444,0.010604508411550063
